书名,价格,作者,出版社,好评率,简介
驾驶仿真实验教程（UC-win/Road）,57.20,林庆峰,北京航空航天大学出版社, 0%,
金属工艺学,34.00,张学仁,哈尔滨工业大学出版社, 0%,
非重构框架下的频谱感知技术（2021航天基金）,95.10,高玉龙,哈尔滨工业大学出版社, 0%,
名枪的故事狙击步枪,86.30,邓涛,机械工业出版社, 0%,
建筑结构（第2版）,40.70,杜咏、岳健广,武汉大学出版社, 100%,
普通高等教育会展经济与管理专业“十三五”应用型规划教材--活动风险管理,32.20,雨阳,中国旅游出版社, 0%,
材料加工过程控制技术,46.60,王香、马旭梁、侯彦芬,哈尔滨工业大学出版社, 100%,
塑料成型工艺与模具设计,66.00,贺毅强,哈尔滨工业大学出版社, 0%,
物流经济学（全国普通高等院校物流管理与物流工程专业教学指导意见配套规划教材）全国普通高等院校物流管理与物流工程专业教学指导意见配套规划教材,57.00,霍红、李腾、刘莉,中国财富出版社, 0%,"自从加入世界贸易组织(WTO)后,我国融入世 界经济,参与世界市场竞争,与各个国家、地区的经济往来越来越频繁,社 会对物流专业人才的需求越来越强烈,而物流专业人才匮乏的现实严重阻碍 了我国物流业的发展.因此,加强物流专业人才的培养与培训迫在眉睫. 物 流经济学 正是为了配合高校物流人才培养的趋势,满足社会对物流人才的 需求而特别推出的."
现代企业人力资源管理(第三版),51.30,安鸿章,中国劳动社会保障出版社, 100%,
计算金融,34.60,,西南财经大学出版社, 0%,
旅游公共服务,34.60,,西南财经大学出版社, 0%,
SQLServer2005基础教程与实验指导（从基础到应用）（配光盘）（清华电脑学堂）,38.60,郝安林、许勇、康会光,清华大学出版社, 90%,
轧制技术基础,27.20,霍晓阳,哈尔滨工业大学出版社, 100%,
随机过程分析处理（第2版）,36.90,高玉龙,哈尔滨工业大学出版社, 0%,
土耳其商务环境,57.40,李鑫均、杜东辉、郭长刚、杨言洪,对外经贸大学出版社, 0%,
高等学校经济管理类专业“十三五”应用型规划教材--经济法（第二版）本书围绕市场经济运行过程中常见的经济法理论和实践问题，在经济法理论、经济组织、宏观调控、市场运行规则和管理、劳动保障、经济纠纷等方面进行了比较系统的阐述,60.00,鲍宏礼,中国经济出版社, 0%,十九大以来，随着社会主义市场经济体制的不断完善发展，经济实践中人们对有关政府与市场关系有了更深刻的认识，加上信息化、 互联网＋ 等对高等教育的影响日益扩大，新形势下高等学校经济管理类专业应用型人才培养有了新的要求。 鉴于此，本教材以党的十九大精神为指导，按照应用型人才培养新要求，以*新的经济法律法规为基础，在教材体例上坚持理论与实践相结合，在内容上坚持学术与应用相结合，针对经济管理类专业本科学生经济法教学要求，围绕市场经济运行过程中*为常见的经济法理论和实践问题，在经济法理论、经济组织法、市场运行秩序法、金融与保险法、会计与审计法、劳动与社会保障法、经济纠纷解决法等方面进行了比较系统的阐述，突出了实用性和案例教学，得到了经济管理类专业教师、学生的一致好评。
深度语文：理念、策略与实践探索,47.90,沈在连,湖南师范大学出版社, 0%,
工程机械液压与液力传动（第2版）,32.20,苏欣平、刘士通,中国电力出版社, 90%,《工程机械液压与液力传动（第2版）》可作为工程机械类专业学生教材，也可供工程机械、液压工程师、液压系统使用和维护人员学习参考。
公共关系学,25.20,王朝文、王晓晖,中国农业大学出版社, 100%,
高等学校毕业设计（论文）指导教程――电子信息类专业（普通高等教育实践教学系列规划教材）,34.80,杜文洁,水利水电出版社, 100%,
服装立体裁剪（下）,84.40,海伦・约瑟夫、阿姆斯特朗,东华大学出版社, 90%,
服装工业制板（第三版）,37.80,李正、唐甜甜、杨妍、徐倩蓝,东华大学出版社, 0%,
十二五全国规划教材・美术教育实习（贺荣敏）,30.50,贺荣敏,人民美术出版社, 0%,
烟草病学高阶教程,76.60,王辰,中国协和医科大学出版社, 0%,
立德树人实践育人――改革开放40周年社会实践调研报告（高校思想政治工作研究文库）,85.40,秦淑娟、祁明,人民出版社, 0%,
Python语言程序设计教程工程应用型院校计算机系列教材；安徽省高等学校“十三五”省级规划教材；全国高等学校（安徽考区）计算机水平考试配套教材,45.20,王永国,安徽大学出版社, 100%,本书注重基础，突出重点、兼顾考试、资源丰富，配有无纸化考试系统、课件、教案、例题代码、习题及实验参考答案，既便于老师教学，也便于学生学习使用；适合作为高等学校公共计算机程序设计语言课程教材，也可作为学生参加计算机水平考试的指导书。
职业病危害预防（第二版）安全生产月推荐用书,14.60,安博士安全生产宣传教育卡通画,中国劳动社会保障出版社, 100%,
流行音乐的多元风格与演唱技法,85.30,常砚溪,中国书籍出版社, 0%,
客舱服务英语,31.00,陈蕾吉、邹文、张娟、刘志惠、陈寒春、胡巧萍、李珊、蒋丽媛,四川大学出版社, 0%,
物业企业财务管理,31.00,苏雪峰、李佳明,哈尔滨工业大学出版社, 100%,
压缩感知与稀疏滤波,75.70,Avishy、Y.Carmi、Lyudmila、S.Mihaylova、Simon、J.Godsill、姜义成,哈尔滨工业大学出版社, 0%,
流行音乐演唱艺术与实战,34.90,麻华,西南交通大学出版社, 0%,
全国大中学生海洋知识竞赛参考书（2018）,48.00,国家海洋局宣传教育中心,中国海洋大学出版社, 100%,
中韩共同认证国际贸易师,104.40,金玉圭、金红英、金玲副,对外经贸大学出版社, 0%,
个人理财实务（第二版）,32.30,高泽金、郑兴,东北财经大学出版社有限责任公司, 0%,国家文化产业资金支持媒体融合重大项目 配教师网络教学资源包
乌尔都语语法,43.70,,世界图书出版公司, 100%,
安全检测技术,56.30,徐强,哈尔滨工业大学出版社, 0%,
运输管理实务高职高专“十三五”规划教材・物流管理系列,33.90,蒋宗明、杨丽娟,安徽大学出版社, 0%,本书是高职高专院校物流管理专业课程教材，也是安徽省高等院校 十三五 规划教材。本书以 工学结合、项目导向、任务驱动 为编写原则，包括公路货运企业、航空货运企业、铁路货运企业、水路货运企业等基本内容。
AdobeCaptivate案例开发经典教程（微课视频版）案例引导，120个900分钟视频讲解，丰富的配套资源，轻松入手零基础入门,76.60,史创明,清华大学出版社, 100%,采用 阶梯案例三步教学法 设计理念，范例学习 模拟练习 创意设计；配套资源封面，便于读者学习，教学视频 案例源码 PPT课件 配套素材 习题；为翻转课堂和混合式教学量身打造，教学过程新理念 教学方法新设计
高等教育创新与实践电子信息类工程实践教程（专业技能分册）,20.00,,西安电子科技大学出版社, 0%,
白话文兴起至今中国文学的尝试和嬗变,62.60,郭瑞、张俊卿,中国书籍出版社, 0%,
现代机械设计理论与方法（第2版）,64.00,,哈尔滨工业大学出版社, 0%,
机械振动教程,34.00,陈奎孚,中国农业大学出版社, 100%,
CorelDRAWX7中文版基础教程,47.50,张宇、王明皓,清华大学出版社, 100%,本书是作者根据自己多年平面设计工作经验编写而成的。全书共分18章：第1～11章分别介绍CorelDRAW的基础知识，绘图工具的用法，CorelDRAW X7的辅助功能，文本处理，使用颜色与填充对象，编辑与造型对象，处理对象与使用图层，为对象添加三维效果，应用透明度与透镜，符号的编辑与应用，位图的操作处理与转换等内容，第12～18章列举了实际工作中的综合案例，包括文字排版与设计、企业VI设计、宣传单设计、商业包装设计、宣传海报设计、网页设计和户外广告设计。 本书可作为各类职业院校、大中专院校或电脑培训学校的教材，也可作为平面设计制作自学者和爱好者的参考用书。
城市居住区康复景观设计与应用研究,66.00,薛滨夏,哈尔滨工业大学出版社, 0%,
针织服装样板设计与工艺,38.30,鲍卫君、张芬芬、贾凤霞、董丽,东华大学出版社, 100%,
钻石加工入门：从切磨到加工,59.20,夏城磊,中国地质大学出版社, 80%,
现代企业物流管理,41.70,魏葵、黄俊磊,大连理工大学出版社, 0%,
生态旅游区建设的理论与实践,24.40,全华,商务印书馆, 90%,
新型微波频率选择表面设计方法,46.60,杨国辉,哈尔滨工业大学出版社, 100%,
英汉衔接手段对比与翻译研究,36.50,岳洪锦,对外经贸大学出版社, 60%,
商务英语阅读（下册）（第三版）,20.90,国晓立、周树玲,对外经贸大学出版社, 100%,
突破瓶颈成为日语达人,37.80,张岫,哈尔滨工业大学出版社, 100%,
现代图书编辑学,36.50,李琪,湖南师大, 100%,
宝石材料分析方法,43.50,祖恩东,中国地质大学出版社, 100%,
BIM技术――管线综合应用本书内容涉及协同工作、机械备放置、管道布置、风管布置、桥架及线管敷设、机电附件添加、设备与管线的连接、碰撞检测、方案优化、三维模型出图、管综成果输出等内容。,38.60,程伟、李林、刘亮亮、陈辉、韩向明,清华大学出版社, 0%,本教材为理论实践结合教材，通过理论学习掌握机电深化的原则及常用方法，软件操作有助于加深对理论知识点的理解；主要讲解设备全专业建模及模型深化的方法；本书适用于高职院校造价、工程管理、土木工程（房建）、设备相关专业的师生。
实用警务英语辅导用书（第二版）,24.40,岳洪锦,对外经贸大学出版社, 100%,
市场营销实验实训教程（第2版）安徽省高等学校“十三五”规划教材,36.50,王亮、陈兆荣,安徽大学出版社, 0%,市场营销学是一门建立在经济科学、行为科学和现代管理理论基础之上的新兴应用科学，是*高教司指定的高等院校工商管理类专业核心课程之一。越来越多的企业、非营利组织，乃至政府部门，正以空前的热情，创新、开拓和深化企业营销、行业营销、城市营销以及国家营销等领域。在这个充满机遇和挑战的时代，系统地学习掌握现代市场营销理论知识，娴熟地运用市场营销实践技能，对于经济管理类专业人才及事业开拓者来说，显得尤为重要。
社会保障学（第二版）,33.10,温海红,对外经贸大学出版社, 100%,
大数据智能分析配套微课视频、教学课件、教学大纲、习题答案、实验文档等,67.70,赵红艳、王甲琛、苗和平、张清,清华大学出版社, 20%,1.在结构上按照先总体后具体，先基本概念后高级进阶的顺序安排章节，兼有普及与提高的双重功能。 2.结合大量实例，以通俗易懂的语言讲解复杂概念和方法。每章后附有问答题和实验题，并设计多次大作业，注重实践。 3.面向企业实际项目应用，注重培养用户理解大数据分析的内涵和外延，学会用数据分析、描述和解决实际问题。
CI设计,33.90,姚斌,人民美术出版社, 100%,企业CI设计融汇了平面构成、标志、包装、图形创作、编排等多方面基础知识。现代CI设计不仅追求视觉的丰富，更要结合实际，在表现方式和传播形式方面进行创新。 本书对企业形象整体构建与规划进行全面细致的剖析，从CI概念、构成、价值等知识点出发，突出市场情况、品牌策划和具体设计项目，分析大量国内外优秀案例，强调对设计原则的把握。同时加入MINIBOX知识链接以扩大知识面，使整个教学过程更加立体化，调动学生的学习激情。通过有针对性的课后练习以加强实践。学生可从点到面、从整体到局部再到整体，逐步掌握企业CI设计各项要点和制作流程。
舟山地区海岸带地质调查实习指导书,21.80,王龙樟,中国地质大学出版社, 0%,
机器学习-基于腾讯云机器学习应用工程师认证(TCP),76.60,李然,清华大学出版社, 0%,l 突出机器学习系统内容，精选机器学习常用算法。 l 覆盖腾讯云机器学习专项认证知识点。 l 实例均使用腾讯的TI-ONE机器学习平台，提供典型Python算法与案例。 l 帮助读者快速入门，提供案例代码等丰富的配套资源。 全书深入浅出，兼具广度与深度，帮助读者掌握机器学习、深度学习的原理与应用。
针灸学,77.40,冀来喜、倪光夏,科学出版社, 0%,
高校学术研究论著丛刊（艺术体育）―我国体育旅游产业协同管理与科学发展研究,65.30,刘跃,中国书籍出版社, 0%,
自动控制原理习题集,19.40,贾鸿莉、王妍玮,哈尔滨工业大学出版社, 100%,
广播电视编导、播音与主持艺术专业高考应试教程,42.60,田中阳,湖南师范大学出版社, 90%,
光电子技术与新型材料,29.10,王�h、李刚、李彩霞,哈尔滨工业大学出版社, 100%,
材料合成与制备实验指导书,17.40,刘学琴,中国地质大学出版社, 0%,
信号与系统（第4版）,42.70,柳长源,哈尔滨工业大学出版社, 0%,
农村金融学（第二版）,50.40,董晓林、张龙耀,科学出版社, 100%,
大学物理实验（王瑞平）,23.00,王瑞平,西安电子科技大学出版社, 0%,
数字出版与传播系列教材数字出版实务（注重理论与实践相结合，助于提升实务工作者的系统思维与分析能力）,46.00,施勇勤、丛挺,广西师范大学出版社, 0%,本书在立足数字出版实务的基础上，注重理论与实践相结合，特别是结合相关实例进行的系统梳理和总结，有助于提升实务工作者的系统思维与分析能力。
中国高等院校艺术设计专业教材色彩构成,36.50,崔生国,湖北美术出版社, 100%,p> 色彩构成是三大构成的重要组成部分，是设计各学科的基础。其学习目的是培养视觉艺术形式的创造性思维方式，掌握色彩搭配的视觉规律。本书从物理学、化学、生理学和心理学四个方面深入浅出地表述色彩的属性和视觉创造的方法，以大量优秀的学生色彩构成作品为范例，同时结合国际、国内视觉设计精品的分析，使读者对色彩知识有详尽地认识和理解，在实践中可以创造性地应用色彩。
集成电路工艺实验基础,43.70,石建军、郭颖,东华大学出版社, 0%,
材料力学（第二版）,45.60,杨在林,哈尔滨工业大学出版社, 80%,
中国传统装裱修复技艺,168.00,余江苇,西安电子科技大学出版社, 0%,
基础环境科学,85.40,李永峰,哈尔滨工业大学出版社, 100%,
GSM-R通信系统应用与维护,43.70,杨静、戴俊勉,西南交通大学出版社, 0%,
高校学术文库艺术研究论著丛刊―声乐演唱艺术的思维与方法研究,48.70,白俊卿,中国书籍出版社, 100%,
汉英翻译理论与实践,50.50,梁为祥,对外经贸大学出版社, 0%,
黄渤海潮间带常见无脊椎动物及标本采制技术,88.00,马培振、曲学存、张弛,中国海洋大学出版社, 0%,
材料表面工程技术,66.00,徐滨士、朱绍华、刘世参,哈尔滨工业大学出版社, 100%,
模式识别：算法及实现方法,38.80,王振永,哈尔滨工业大学出版社, 80%,本书适用于电子信息、计算机、自动控制等专业的本科生和研究生及本领域的研究者。
通信原理（第2版）,37.80,黄根岭,西南交通大学出版社, 0%,
中医学基础(第3版),58.00,郑洪新、战丽彬,科学出版社, 0%,
钢琴基础教程,20.00,,西安电子科技大学出版社, 100%,
新型马氏体时效不锈钢及其强韧性,95.10,姜越,哈尔滨工业大学出版社, 100%,
西方经济学（微观部分・第七版）同步辅导及习题全解（高校经典教材同步辅导丛书）,28.50,陈琳、高鸿业,水利水电出版社, 100%,
保险法概论,30.50,孙蓉、王凯,西南财经大学出版社, 0%,
工业机器人设计与应用,36.90,李瑞峰,哈尔滨工业大学出版社, 100%,
普通高等院校建筑环境与能源应用工程专业系列教材：建筑物理,51.30,杨柳,中国建材工业出版社, 100%,系列教材推荐： 建筑太阳能利用技术 建筑物理 建筑节能综合设计 可再生能源利用技术 建筑材料 建筑能效评估 生态学基础 建筑力学
团队精神拓展训练,38.80,刘传青,天津大学出版社, 0%,
工程项目管理（第2版）,48.70,梁世连,中国建材工业出版社, 100%,
土力学与地基基础,43.70,万凤鸣,哈尔滨工业大学出版社, 0%,
西餐英语,29.00,闫晓旭,西安电子科技大学出版社, 0%,
环境伦理学教程(高等学校十一五规划教材)/市政与环境工程系列丛书,29.10,李永峰,哈尔滨工业大学出版社, 0%,随着人口增长和经济的发展，人与自然之间的矛盾冲突越来越尖锐化。如何在保持经济发展、维持人口正常生活的前提下，保持环境的可持续发展成为目前人们讨论越来越频繁的话题。环境伦理学主张立足道德和价值的高度，强调环境教育的重要性，力求推进环境、经济、政治等领域的可持续发展。由李永峰和潘欣语等主编的《环境伦理学教程》基于国内外已有的理论成果，在继承和创新思想的指导下，阐述了环境伦理学的基本理论及其发展、环境伦理学与环境道德、环境立法的联系，以及环境伦理学的实践等内容，适合作为高校本科生的教学用书、研究生及博士生的研究资料，以及相关环境工作人员的参考用书。
艺术欣赏音乐,23.30,上海音乐出版社,上海音乐出版社, 100%,
几何学,31.00,姚金江,电子工业出版社, 0%,
高等院校文化产业基础教材：文化资源学,26.10,牛淑萍,福建人民出版社, 100%,文化资源是发展文化产业必不可少的生产资料之一，本书重点了介绍我国的文化资源情况。《文化资源学》作为高校文化产业基础教材之一，全书从文化资源的概念、类别、功能与价值评估、保护与利用、整合与优化配置等方面进行介绍，内容详实，是目前高校文化产业教学方面，针对性强、适合目前高校教学需要的好教材。
工业机器人入门实用教程（配天机器人）,36.90,张明文,哈尔滨工业大学出版社, 0%,
电工学（少学时）（普通高等教育“十二五”规划教材）,19.10,吴显金、张晓丽,水利水电出版社, 100%,
新媒体环境下跨文化适应性的传播学研究本书从传播学、社会学视角探讨在新媒体环境下外国留学生跨文化适应性的诸多现象及问题，并提出了可行性改进意见。,46.60,孙庚,北京交通大学出版社, 100%,本书在传播学的视阈下探讨媒介与媒介信息的结构属性，把媒介接触作为讨论的核心，将传播视为文化适应的粘合剂，分析社会、结构、文化等因素对留学生文化适应的影响，为研究跨文化适应提供传播学的理论视角。 本书力求避免宽泛空洞的理论探讨及策略性研究，研究人员深入留学生群体中，对其在京的文化适应状况进行真实而有深度的调查和呈现。本书采用定量分析和定性分析的研究方法对在京留学生的跨文化适应状态进行考察。
轨道交通站内行人行为建模和仿真,56.30,廖明军,哈尔滨工业大学出版社, 0%,
翻译基础教程（下）第二版高等学校应用英语系列教程,29.00,周邦友,东华大学出版社, 100%,
精细化工过程与设备,33.00,杨春晖、郭亚军,哈尔滨工业大学出版社, 0%,
涂料科学与制造技术,65.30,张爱黎、孙海静,中国建材工业出版社, 0%,
大学生音乐素养,28.10,邱添,云南人民出版社, 0%,
"医学高等数学（案例版，第3版）郭东星,杨晶",48.30,郭东星、杨晶,科学出版社, 0%,
新视域大学英语综合教程（第一册）,33.90,赵冬梅,对外经贸大学出版社, 0%,
哈工大的EMBA人,97.00,许洪霞,哈尔滨工业大学出版社, 100%,
设计心理学（高校精品课程，由任教多年的教师亲自编写。）,48.30,田蕴,电子工业出版社, 100%,
智能物流(物联网工程专业系列教材),22.60,张翼英,水利水电出版社, 90%,《智能物流》由张翼英、张茜、西莎、朱丽晶等人编著，本书特色：由浅入深，知识覆盖全面。从智能物流基本概念、发展现状人手，并介绍相关技术，附以应用实例，方便读者更好地理解智能物流。实用性强，理论和应用相结合。既有概念方法，又有实例论证和案例分析，相得益彰。内容新颖，引领科研和实践方向。介绍智能物流的**发展动态及前沿的应用，同时分析存在的问题和应对策略。
“学一百通”中国画基础技法丛书・写意花鸟：梅花（第二版）,28.10,黄忠耿,广西美术出版社, 100%,本书是在已出版且销售较好的《中国老年大学书画教材》系列丛书基础上，挑选市场*广的画种之一的升级版新选题，本套丛书是总结并改进了前者的缺点和不足而让内容及编辑质量得到提升，题材内容*为丰富。书中按牡丹、禽鸟、鱼类、木本、梅花、藤本等题材分类，文字介绍与图结合，用通俗易懂的专业术语表达。黄忠耿*的《梅花(学一百通)》所例举的题材为梅花，书中由梅花的结构解析图；梅花的用笔、用色、组合；花头、花苞的画法步骤，花蕊的画法举例；老枝干、嫩枝干画法步骤解析；不同枝干的组合举例；完整的作品举例；精品欣赏等内容组成。本丛书作为国画技法类图书具有非常大的社会效益，对国画学者来说是一本适合的绘画范本。
婴幼儿心理发展理论教育心理学博士、华东师范大学学前教育系副教授详细讲解，内含大量婴幼儿在家庭、早教机构及幼儿园中的真实案例，理论与实践相结合，分析深入浅出，背景资料丰富，有助于理解。,31.00,钱文,上海科技教育出版社, 90%,"本套丛书由中国学前教育研究会教师发展专业委员会早教教师委员会牵头，积极组织全国有关领域的著名专家学者进行编写，并且邀请参与讨论、制定相关文件的专家对本套丛书进行审核，力求保证本套丛书具有鲜明的理念引领性、教育科学性和实践指导性。本套丛书不仅深入浅出地阐释了婴幼儿动作、语言、认知、情感与社会性、心理等方面发展的相关理论,而且从实践需要出发，就婴幼儿行为观察、婴幼儿家庭保育教育、特殊婴幼儿的保育教育等方面进行了详实的阐述，还对如何研究婴幼儿身心发展、如何推进家庭保育教育、如何管理早教机构等问题进行了思考与总结。"
"物理化学核心教程学习指导（第二版）沈文霞,淳远,王喜章主编",47.50,沈文霞、淳远、王喜章,科学出版社, 100%,
水环境化学实验教程水产类专业实践课系列教材,70.00,张美昭、张凯强,中国海洋大学出版社, 0%,
IT硬件维修工程师―CAC岗位就业实训精品课程系列教材,34.90,马振峰,中国劳动社会保障出版社, 90%,
HTML5Web开发（全案例微课版）精选热点案例和流行技术，案例易学，有趣，容易快速入门。支持扫码看视频，赠送丰富资源,86.30,刘辉,清华大学出版社, 0%,《HTML5 Web开发（全案例微课版）》的特色如下： 零基础、入门级的讲解 无论您是否从事计算机相关行业，无论您是否接触过HTML5 Web开发，都能从本书中找到适合的起点。 实用、专业的范例和项目 本书内容在编排上紧密结合深入学习HTML5 Web开发的过程，从HTML5的基本概念开始，逐步带领读者学习HTML5 Web开发的各种应用技巧，侧重实战技能，使用简单易懂的实际案例进行分析和操作指导，让读者学起来简明轻松，操作起来有章可循。 随时随地学习 本书提供了微课视频，通过手机扫码即可观看，可随时随地解决学习中的困惑。 全程同步教学录像 涵盖本书所有知识点，详细讲解每个实例及项目的创建过程及技术关键点。可以比看书更轻松地掌握书中所有的网页制作和设计知识，而且扩展的讲解部分可以让读者有更多的收获。
服装表演基础・策划编导・舞美灯光,66.00,刘元杰,东华大学出版社, 0%,
计算机应用基础项目驱动式教程（Windows10+Office2016）,75.70,王素丽,四川大学出版社, 0%,
国际金融法（第2版）,47.00,伏军,对外经贸大学出版社, 100%,
文化行业考试专用教材・古汉语,36.90,文化部文化艺术人才中心、文化部职业技能鉴定指导中心,国家图书馆出版社, 100%,
概率论与数理统计（第三版）,46.60,,西南交通大学出版社, 0%,
摄影技术与艺术,46.60,吕爱杰,电子工业出版社, 0%,
生物医学伦理学,31.30,施卫星,浙江教育出版社, 90%,
多元统计分析与R建模,40.70,葛虹,哈尔滨工业大学出版社, 0%,
游戏设计概论（第6版）,76.60,胡昭民、吴灿铭,清华大学出版社, 0%,
智能制造系统实训,37.80,张剑、付建林、王小强,西南交通大学出版社, 0%,
信息管理概论（第四版）,56.30,刘红军、骆毓燕,科学出版社, 0%,
采购与供应商管理企业物资供应部门人员的工具书,40.70,翟光明,中国劳动社会保障出版社, 100%,本书突出了先进性、实用性和可操作性的特点，作者在书中融人近二十年企业采购管理经验及为数百家跨国企业、世界5O0强企业、股份制企业和民营企业提供采购与供应商管理培训和咨询所获得的信息资料和成功案例，值得推荐！
理必求真・黄炎培职业教育思想读本：综合篇,56.30,周汉民,上海科学技术文献出版社, 100%,
妇幼保健信息管理与质量控制,73.70,张刚,四川大学出版社, 0%,
北方养牛生产技术操作流程,20.40,严文岱,中国农业大学出版社, 0%,
国际贸易实务（英文版）（第五版）辅导用书,33.90,周瑞琪、王小鸥、徐月芳,对外经贸大学出版社, 100%,
航天器尺寸稳定结构设计与验证（2021航天基金）,95.10,罗文波,哈尔滨工业大学出版社, 0%,
常微分方程（第四版）同步辅导及习题全解（高校经典教材同步辅导丛书）,33.80,,水利水电出版社, 100%,
城市燃气管网泄漏扩散机理与安全监测技术,56.30,谭羽非,哈尔滨工业大学出版社, 0%,
三角不等式研究与欣赏,66.00,邓寿才,哈尔滨工业大学出版社, 100%,
新航向大学英语4,25.20,王俊琳、陈月明、陈思媛,天津大学出版社, 0%,
虚拟现实（VR）设计方法论（普通高等教育新工科人才培养规划教材（虚拟现实技术方向））,39.20,黎娅、刘明,水利水电出版社, 0%,
大学物理实验（普通高等教育“十三五”规划教材）,24.40,汤丽华、蔡志猛、陈明明,水利水电出版社, 0%,
高校学术研究论著丛刊（艺术体育）―中西方钢琴艺术史教程,71.30,王诗莹,中国书籍出版社, 0%,
模拟电子技术基础（第二版）唐治德，申利平主编，模拟电子技术基础（第二版）,76.60,唐治德、申利平,科学出版社, 100%,
基于语料库的翻译硕士实践报告体裁研究,66.00,王凤玲,四川大学出版社, 0%,
强地震动特征与抗震设计谱,66.00,翟长海,哈尔滨工业大学出版社, 100%,
铜基电触头材料物理化学基础,85.40,邵文柱、甄良、V.V.Ivanov,哈尔滨工业大学出版社, 0%,
材料化学导论,34.90,邓启刚,哈尔滨工业大学出版社, 0%,本书融传统的金属材料、无机非金属材料、高分子材料和复合材料于一体，是高等工科学校材料科学与工程类专业本科生教材及研究生参考书，亦可供该领域工程技术人员参考。
地下防护结构,56.30,张博一,哈尔滨工业大学出版社, 0%,
智能化的自适应系统:人和人工智能交互共栖的优化设计,95.10,Ming、Simon、Banbury,哈尔滨工业大学出版社, 0%,
新视域大学英语综合训练（第一册）,39.20,赵冬梅,对外经贸大学出版社, 0%,
合同法（全国高等院校法学专业基础教材）（独立学院）,27.80,黄名述、李振华,中国政法大学出版社, 0%,
通信技术基础,36.90,邱太俊、陈帮富,西南交通大学出版社, 0%,
航天空间特殊环境下的数字信号处理系统设计与应用,41.50,,哈尔滨工业大学出版社, 0%,
航天器姿态动力学与控制,124.20,荣思远,哈尔滨工业大学出版社, 0%,
新视域大学英语综合训练（第三册）,39.20,齐莹,对外经贸大学出版社, 0%,
ITMC企业经营决策沙盘模拟实训教程（第二版）（高等职业教育“十三五”精品规划教材）,26.10,方艳、邓文博、叶影霞、刘浩、高会生,水利水电出版社, 0%,
戴灼华、王亚馥、粟翼玟遗传学（第2版）辅导与习题集（戴灼华、王亚馥、粟翼玟《遗传学》（第2版）同步辅导）生物类遗传学第3版链接：http://product.dangdang.com/25234934.html,34.90,高和平、姚国新、姜益泉,西南交通大学出版社, 90%,特别推荐：2016版 《陈阅增普通生物学（第4版）同步辅导与习题集（含 生物考研真题）》 推荐购买：翟中和、王喜忠、丁孝明版 《细胞生物学》（第四版）指定考研辅导 推荐购买：吴相钰版 《陈阅增普通生物学》（第3版）（全国中学生生物学联奥奥赛参考书）指定考研辅导 推荐购买：王镜岩版《生物化学》（第三版）指定考研辅导 推荐购买：朱玉贤版 《现代分子生物学》（第三版）指定考研辅导 推荐购买：朱玉贤版 《现代分子生物学》（第四版）指定考研辅导
国际建筑设计教程:建筑设计基础教程(第二版),63.10,法雷利、肖彦、姜珉,大连理工大学出版社, 100%,本书论述了建筑设计的方法和过程、用于空间表现的建筑语汇，以及建筑设计的核心理念，这些理念可以用于更好地理解建筑场地和文脉。作者对于建筑的选址、建筑风格、建筑构造与材料、建筑表现、现代建筑思想以及建筑项目的实践过程等知识，分章节进行了详细的阐述。每一章配套编入了案例分析和练习题，并选取了由知名建筑师和设计师在近年完成的代表性作品，使本书所述的基础理论和设计方法得以充分表达。
城市轨道交通施工安全管理（第2版）,37.80,刘连珂,西南交通大学出版社, 0%,
服装款式大系：女裙装款式图设计1500例,75.70,章瓯雁、高秦箭、梁苑、李颖儿,东华大学出版社, 100%,
有机结构波谱分析,48.30,李颖,哈尔滨工业大学出版社, 0%,
老年医学新概念上海市住院医师科普月月讲精选集，一书集结66篇优秀科普文章。,68.00,陆惠华、方宁远,上海交通大学出版社, 100%,本书为上海交通大学研究生院医学院分院2020-2021教材建设项目（YJ202003）
高等数学习题课同步教材（第二版）,56.30,四川大学数学学院高等数学教研室,四川大学出版社, 0%,
大学计算机基础上机实践教程（第五版）（普通高等教育“十三五”规划教材（计算机专业群））,27.80,何振林、罗奕、胡绿慧、杨霖、何剑蓉、李源彬,水利水电出版社, 0%,
织物组织分析与设计,57.20,林晓云,东华大学出版社, 0%,
基于大健康视角的老年健康促进与管理研究,65.30,申晋波,中国书籍出版社, 0%,
建筑工程项目管理,43.70,杨海萍,哈尔滨工业大学出版社, 0%,
地下工程施工技术（二维码版）,46.60,张广兴,武汉大学出版社, 100%,
服务采购管理(21世纪采购与供应规划系列教材),35.00,胡军、吴承健,中国财富出版社, 80%,
口腔黏膜病临床药物手册,86.90,王�诅�、刘佳佳、金鑫,四川大学出版社, 0%,
机械工程材料与成型技术（第3版）,53.40,刘贯军,电子工业出版社, 100%,了解新材料，掌握现代制造和工艺方法，提升实践能力和创新设计能力。
服装板型大系：套装,66.00,张文斌,东华大学出版社, 100%,
物流法规实务,33.10,,西南财经大学出版社, 0%,
财管力:300个指标量化提升利润管理,66.00,高婷姝,哈尔滨工业大学出版社, 0%,
