类别,排序方式,图书名称,图书作者,作者简介,原价,折扣价,图书简介
数学,最热,高等数学（下册）（慕课版）,张天德 黄宗媛,"山东大学数学学院教授，泰山学堂主讲教师，山东数学会高等数学专业委员会主任,全国大学生数学竞赛山东赛区负责人，全国微课程比赛山东赛区副主任兼秘书长,中国大学先修课程《微积分》特聘教授。作为主要成员完成国家科学基金及山东省自然科学基金项目6项，主持或参与省部级教学研究项目5项；发表学术论文50余篇；参与编写的《微积分》入选国家十二五规划教材；曾获“山东省中青年学术骨干、学科带头人”等称号。",49.8,39.84,本书根据高等学校非数学类专业高等数学课程的教学要求和教学大纲，将新工科理念与国际化深度融合，借鉴国内外优秀教材的特点，并结合山东大学数学团队多年的教学经验编写完成。全书分为上、下两册，下册是多元函数微积分部分，共5章，主要内容为无穷级数、向量代数与空间解析几何、多元函数微分学及其应用、重积分及其应用、曲线积分与曲面积分。每章最后有对应知识的MATLAB程序实例和核心知识点的思维导图。
数学,最热,高等数学（下册）,同济大学数学系,殷俊锋，同济大学数学系教授，博士生导师，风险管理研究所成员，上海市浦江人才计划入选者，同济大学青年教师入选者。2010年中国数学会计算数学分会应用数值代数奖获得者，主持和参与含3项国家自然科学基金在内的10余项与省部级科研项目。并在国际知名期刊上发表多篇高水平的学术论文。,39.8,31.84,本书是按照教育部大学数学课程教学指导委员会的基本要求，充分吸取当前高等数学教材的精华，并结合同济大学数学系多年来的教学实践经验，针对当前学生的知识结构和习惯特点而编写的。全书分为上、下两册。本书为下册，是多元函数微积分部分，共四章，主要内容包括向量与空间解析几何，多元函数微分学，多元函数积分学，无穷级数。每节前面配有课前导读，核心知识点配备微课，每章后面附有章节测试和拓展阅读。本书注重知识点的引入方法，使之符合认知规律，更易于读者接受。同时，本书精炼了主要内容，对部分内容调整了顺序，使结构更加简洁，思路更加清晰。本书还注重知识的连贯性，例题的多样性和习题的丰富性、层次性，使读者在学习数学知识点的同时拓宽视野，欣赏数学之美。本书可作为高等院校理工科类各专业的教材，也可作为社会从业人员的自学参考用书。
数学,最热,普林斯顿概率论读本,[美] 史蒂文·J. 米勒（Steven J. Miller）,史蒂文·J. 米勒（Steven J. Miller）美国耶鲁大学数学与物理学学士，普林斯顿大学数学硕士及博士。现任威廉姆斯学院数学教授、Erdos研究所教职研究员，还是美国数学协会和Phi Beta Kappa荣誉学会成员。主要研究方向有数论、线性代数、概率论和统计学。,139.0,111.20,"本书讲解概率论的基础内容, 包括组合分析、概率论公理、条件概率、离散型随机变量、连续型随机变量、随机变量的联合分布、期望的性质、极限定理和模拟等, 内容丰富, 通俗易懂, 并配有丰富的例子和大量习题, 涉及物理学、生物学、化学、遗传学、博弈论、经济学等多方面的应用，极具启发性。"
数学,最热,普林斯顿数学分析读本,[美]拉菲·格林贝格（Raffi Grinberg）,拉菲·格林伯格（Raffi Grinberg）是一位企业家和管理顾问。他于2012年以优异的成绩从普林斯顿大学毕业，获得了数学学位。,69.0,55.20,本书是《普林斯顿××读本》系列图书的第二本，该套书的论述风格友好、平易近人，通过作者与读者之间的互动对话和相关示例非常清晰地阐明了数学概念，提供了命题和定量逻辑方面的知识，可以使读者精通自己的数学思路。本书讲解了学习实分析的基础内容，包括基本的数学与逻辑、实数、集合、拓扑、序列等．作者以通俗易懂且略带幽默的口吻讲述了两步式求解方法：首先展示如何回溯到求解问题的关键，之后说明如何严谨规范地写下解题过程。书中还给出了丰富的示例，帮助学生巩固所学知识。
数学,最热,线性代数应该这样学（第3版）,【美】阿克斯勒（Sheldon Axler）,Sheldon Axler  1975年毕业于加州大学伯克利分校，现为旧金山州立大学理工学院院长。《美国数学月刊》的编委，Mathematical Intelligencer主编，同时还是Springer的GTM研究生数学教材系列等多个系列丛书的主编。,49.0,39.20,"本书强调抽象的向量空间和线性映射, 内容涉及多项式、本征值、本征向量、内积空间、迹与行列式等. 本书在内容编排和处理方法上与国内通行的做法大不相同, 它完全抛开行列式, 采用更直接、更简捷的方法阐述了向量空间和线性算子的基本理论. 书中对一些术语、结论、数学家、证明思想和启示等做了注释, 不仅增加了趣味性, 还加强了读者对一些概念和思想方法的理解."
数学,最热,概率论与数理统计,余君武 肖艳清,作者多年从事概率论与数理统计及相关课程的教学，挤了了丰富的教学经验，在教学期间，作者结合目前大学生的学习特点和针对应掌握的重点难点和国家**新的教改政策编写过多本数学类畅销教材，得到了市场的认可,34.0,27.20,《概率统计与数理统计》是高等院校理工类、经管类的重要课程之一。在考研数学中的比重大约占22%左右。主要内容包括：概率论的基本概念、随机变量及其概率分布、数字特征、大数定律与中心极限定理、统计量及其概率分布、参数估计和假设检验、回归分析、方差分析、马尔科夫链等内容。
数学,最热,高等数学习题全解与学习指导（上册）,张弢 殷俊锋,"张弢，同济大学，副教授,具有多年基础数学教学经验。 编写数学类图书多本，并受到广泛好评。多篇论文发表。",38.0,30.40,《高等数学习题全解与学习指导》分上、下两册。上册内容为函数与极限，一元函数微学分，一元函数积分学，常微分方程配套习题讲解。书中各章节的主要内容都配有精心选取的例题和习题，着重训练读者对定义与概念的理解、对定理与方法的应刚能力，培养读者解决问题的逻辑心维方法和创新能力。
数学,最热,经济数学——微积分（第3版）（微课版）,杨慧卿,杨慧卿，副教授，教学经验丰富，主要讲授高等数学（理工类）、高等数学（经管类）、解析几何（数学专业）、初等数论（数学专业）等本科课程。,49.8,39.84,本书针对地方应用型本科高校经济管理类专业的需求，根据教育部高等学校数学与统计教学指导委员会制订的《经济管理类数学基础课程教学基本要求》，并参考硕士研究生考研大纲数学三的要求编写而成。全书共6章，包括函数、极限和连续，一元微分学——导数、微分及其应用，一元积分学——不定积分、定积分及其应用，多元函数微积分学，微分方程与差分方程，无穷级数。本书注重数学概念的引入和数学思想方法的分析，强调知识间的联系和微积分知识在经济问题中的应用。
数学,最热,概率论与数理统计（第2版 微课版）,杨筱菡 王勇智,杨筱菡，长期担任概率论与数理统计授课教师，擅长带领学生感受概率统计原理的神奇与美妙：你知道全概公式的奥妙吗？你知道二项分布的实践背景吗？你知道正态分布为什么无处不在吗？你知道怎样描述来自试验的一组数据吗？你知道怎样检验孟德尔遗传定律吗？你知道父与子的身高揭示了变量间怎样的相关关系吗？,49.8,39.84,本书是在教育部制定的教学大纲基础上，参照同济大学“概率论与数理统计”课程及教材建设的经验和成果，按照全国硕士研究生入学统一考试数学一的考试大纲要求，根据作者十多年的教学实践经验编写而成．全书共分八章，包括随机事件与概率、随机变量及其分布、多维随机变量及其分布、随机变量的数字特征、大数定律及中心极限定理、统计量和抽样分布、参数估计和假设检验．本书着眼于“概率论与数理统计”中的基本原理和基本方法，强调直观性；语言通俗，注重用生动浅显的方式说明基本概念的直观意义；例题丰富，可读性强．
数学,最热,高等数学（上册 第2版 微课版 ）,张弢 殷俊锋,"殷俊锋，同济大学，教授,博导,上海市浦江人才,荣获中国数学会计算数学分会应用数值代数奖,在国际期刊发表30余篇高质量论文。张弢，2000年9月开始在同济大学教授公共课高等数学A，高等数学B，高等数学C等不同种类的公共基础课，同时担任数学系专业课数学分析、实变函数、泛函分析等授课任务，同时参与数学类精品课程，卓越课程，数学竞赛等项目建设。",49.8,39.84,本书是按照教育部大学数学教学指导委员会的基本要求，充分吸取当前优秀高等数学教材的精华，并结合数年来的教学实践经验，针对当前学生的知识结构和习惯特点编写而成。全书分为上、下两册。本书为上册，是一元函数微积分部分，共四章，主要内容包括函数极限与连续，一元函数微分学及其应用，一元函数积分学及其应用，微分方程。每节前面配有课前导读，核心知识点配备微课，每章后面附有章节测试和拓展阅读。本书注重知识点的引入方法，使之符合认知规律，更易于读者接受。同时，本书精炼了主要内容，使结构更加简洁，思路更加清晰。本书还注重知识的连贯性，例题的多样性和习题的丰富性、层次性，使读者在学习数学知识点的同时拓宽了视野，欣赏数学之美。本书可作为高等院校理工科类各专业的教材，也可作为社会从业人员的自学参考用书。
数学,最热,高等数学（上册）精选750题,宋浩,宋浩，博士、副教授，数学视频 UP 主，全网粉丝 超过660万，视频播放量超过2.9亿次。宋 浩讲授的高等数学、线性代数、概率论与 数理统计、微积分、数学分析等课程，成 为大学生期末考试、考研、专升本复习的 重要视频资源，其中，高等数学教学视频 成为 B 站播放时长最长的专辑。此外，宋 浩还主编了《高等数学讲义》《线性代数辅 导讲义》《396 经济类联考数学讲义》《中学数学高等数学衔接教程》等作品。,69.8,55.84,本书针对大学高等数学上学期的课程内容 — — 函数与极限、导数与积分、微分中值定理与导数应用、不定积分、定积分以及应用、微分方程 — — 精心设计了750道经典与创新题目，并给出了相应的解题思路。书中题型规划合理，覆盖题型全，解题思路清晰，非常适合想要打牢高等数学基础，以及准备参加专升本、研究生考试的学生使用。
数学,最热,高等数学习题全解与学习指导（下册）,张弢 殷俊锋,"张弢 殷俊锋，同济大学，教授,博导,上海市浦江人才,荣获中国数学会计算数学分会应用数值代数奖,在国际期刊发表30余篇高质量论文。",38.0,30.40,《高等数学习题全解与学习指导》分上、下两册。下册内容为向量与空间解析几何，多元函数微分学，多元函数积分学，无穷级数配套习题讲解。书中各章节的主要内容都配有精心选取的例题和习题，着重训练读者对定义与概念的理解、对定理与方法的应变能力，培养读者解决问题的逻辑思维方法和创新能力。
数学,价格升序,数学练习册（基础模块）第一册（中职）,刘讲军 李国中 主编,,11.5,9.20,　　本书是《数学(基础模块)第 一册》配套的练习册。全书共5章，每章按照与教材相应的小节划分为：学习目标、知识要点、基础训练和能力训练。“基础训练”主要侧重于基础题型的练习；“能力训练”有助于在学好基础知识的前提下提升能力，能力训练题有一定的难度，适合学习能力较强的学生。每章后都配有自我检测题，使学生对掌握知识的程度做到心中有数。本书**后提供两套综合模拟测试题，供学生全面总结、复习巩固所学知识，也可作为期末测试题。　　本书适合各类中等职业学校作为教材
数学,价格升序,应用数学基础(经管类)训练教程(高等职业教育“十二五”规划教材),邢春峰 主编,,14.0,11.20,　　本书是全国高等职业教育“十二五”规划教材《应用数学基础》(经管类)的配套辅导教材。本书以高等数学的基本概念与基本方法为训练重点，特别关注数学的思想方法及用数学解决实际问题的能力的训练。按内容顺序分为6章，每章由基本知识导学、例题解析、基础知识试题及答案和能力提高试题及答案4部分组成。　　本教材适用于各类高职高专院校(两年制或)三年制(少学时)经管类各专业，也可供专升本及相关人员参考。
数学,价格升序,现代数值计算习题指导,同济大学计算数学教研室 编著,,15.0,12.00,　　本书是同济大学计算数学教研室几位老师集体智慧的结晶，供了人民邮电出版社出版的《现代数值计算》一书中习题的全部解答，并给出了详细的求解过程，对于实验题还给出了完整的Matlab程序，**后提供了3套模拟考卷，并给出了答案。　　本书适合作为本科生和工科研究生数值计算配套用书，也适合相关教学人员参考。
数学,价格升序,应用数学基础(理工类)训练教程(高等职业教育“十二五”规划教材),邢春峰 主编,,20.0,16.00,　　本书是高等职业教育“十二五”规划教材《应用数学基础(理工类)》的配套辅导教材。本书以高等数学的基本概念与基本方法为训练重点，特别关注数学的思想方法及用数学解决实际问题的能力的训练。按内容顺序分为8章，每章由基本知识导学、例题解析、基础知识试题及答案和能力提高试题及答案4部分组成。　　本教材适用于各类高职高专院校(两年制或)三年制(少学时)电子信息类、工程类等各专业，也可供专升本及相关人员参考。
数学,价格升序,从微分观点看拓扑（双语版）,[美]J.W.Milnor 著,,20.0,16.00,　　本书由菲尔兹奖和沃尔夫奖得主J.W.Milnor所著，是一本蜚声国际数学界的经典之作。内容涉及光滑流形和光滑映射，Sard定理和Brown定理，映射的模2度，定向流形，向量场与Euler数，标架式协边，Pontryagin构造等。全书内容简要，短小精悍。　　本书为双语版，可用于双语教学。既适合高等院校数学专业高年级本科生和研究生阅读，也可供对微分拓扑有兴趣的专业人士参考。
数学,价格升序,现代数值计算习题指导(第2版),同济大学计算数学教研室 编著,,22.0,17.60,　　本书为《现代数值计算(第 2版)》(ISBN 978-7-115-35993-3)的配套教材，是同济大学计算数学教研室老师集体智慧的结晶，全书内容包括主教材中习题的全部解答，同时给出了详细的求解过程；对于实验题，还给出了完整的MATLAB程序；**后提供了模拟试卷，并给出了参考答案。　　本书适合作为本科生和工科研究生数值计算配套用书，也适合相关教学人员参考。
数学,价格升序,线性代数学习指导与习题解答,孙丹娜 李福乐 主编,,23.0,18.40,    本书的内容有：一、基本内容：列出各章的基本概念和常用的重要结论；二、基本要求：指出各章中每一部分内容应该掌握到什么程度，便于读者在复习时能合理分配力量；三、典型方法举例，列举各种解题方法的典型例题；四、课后习题详解：对《线性代数》的每一章的习题进行全面详细的解答；五、考研真题选解：为准备考研的学生准备往年研究生考试线性代数试题，并进行解答，便于学生了解考研题型和难度。　　本书不仅适用于高等农业院校，也可作为林、水、医等院校的学生学习《线性代数》的指导书，也可作为报考农、林、水、医院校的研究生考生的复习参考书。　　本书既可作为高等院校经济管理、信息管理及相关专业的教材，也可作为企事业单位和信息系统相关人员的参考书。
数学,价格升序,经济数学基础——微积分及应用(高等职业教育“十一五”规划教材),谭绍义 主编,,24.0,19.20,　　本书根据当前高职高专教育教学改革的需要而编写，主要内容包括函数、极限与连续、导数与微分、导数的应用、不定积分、定积分及应用，附录中借助数学软件Matlab编入了与本书配套的简单的数学实验指导。本书尽量舍弃以往高等数学教材中抽象晦涩的专业符号表示，代之以简练准确的文字描述，一些定理的证明也尽量给出直观的解释。在内容的编排上做到前呼后应，在一些内容的组织和阐述上有所创新，教材按照学生的认知规律，在提高学生学习数学的兴趣、培养学生科学的思维方式和应用意识上做了新的尝试，知识点、例题、习题前后对应，便于老师教学，也便于学生的学习，使学生打好基础并提高他们的全面素质。　　本书可供高职高专经济与管理类学生使用，也可作为经济工作者的参考用书。
数学,价格升序,高等数学(上)(高函),,,24.0,19.20,
数学,价格升序,线性代数,同济大学数学系,同济大学数学系始建于1945年，程其襄、杨武之、朱言钧、樊映川、张国隆、陆振邦等知名学者曾在此任教，并留下了《高等数学》等有全国影响的教材。,24.0,19.20,本书根据工科类本科“线性代数”课程教学基本要求，参考同济大学“线性代数”课程及教材建设的经验和成果，按照硕士研究生考研大纲的要求编写而成．编者在内容编排、概念叙述、定理证明等诸多方面都做了精心安排，以使全书结构流畅，主次分明，通俗易懂．本书共分五章，包括线性方程组与矩阵、方阵的行列式、向量空间与线性方程组解的结构、相似矩阵及二次型、线性空间与线性变换．每小节配有习题，每章末配有拓展阅读和测试题，拓展阅读用于讲解线性代数发展的相关知识；测试题难度高于习题难度，用于学生加强练习，部分习题和测试题答案放于本书**后章节．另外，为了更加清楚地讲解每章的重点、难点以及典型例题，本书还配有微课视频．本书可作为高等院校非数学类专业“线性代数”课程的教材，也可作为自学者的参考书．
数学,价格升序,普通高校专升本考试模拟试卷——高等数学,七洲培训学校教材研发中心,七洲培训学校教材研发中心是成都市郫都区七洲培训学校的教材研发中心，主要成员包括孙爱玲等，孙爱玲，毕业于西南交通大学，文学学士，教育管理硕士。连续多年获七洲教育“最受欢迎老师”“年度优秀老师”称号。主编《四川高职高专单独招生语文指导教材》《四川专升本大学语文指导教材》等图书，主讲大学语文、现代文学、现代汉语、教育心理学等科目。授课特点是提倡培训课程是授人以鱼还要授人以渔，创新、独到。,24.0,19.20,本书是按照四川省普通高校专升本选拔考试高等数学考试要求和考生备考需要推出的系列备考资料之一——模式试题，高等数学的配套用书，共10套试卷，以及答案。本书的编写是在七洲教育集团和七洲培训学校的策划、组织下完成的。教材编写团队成员为来自电子科技大学、西华大学、四川工程职业技术学院等学校的一线教师，具有深厚的数学专业功底和丰富的专升本选拔考试教学经验，可以帮助考生强化双基训练，理解、掌握、巩固和检验所学的知识和方法。
数学,价格升序,经济数学学习指导与练习,赵培勇  申合帅,"作者多年从事职业教育工作,有着丰富的教学经验,参与企业项目制作,有着丰富的实践经验,主编的多部教材,得到老师们的认可",25.0,20.00,本书主要内容包括函数与极限、导数与微分、导数的应用、不定积分与定积分等。力求做到用通俗易懂的语言和常规思维表达数学基础知识及相关概念；淡化理论，突出应用；整体结构清晰，前后呼应，条理清楚；知识点、例题要点明确，章节练习与之对应，练习题均配有参考答案，便于教师的教学和学生的学习。
数学,价格升序,线性代数习题集,田春红 刚蕾 孙艳波 孙蕾 蔡剑,田春红，南京航空航天大学金城学院，曾出版过多本数学教材，深受广大读者的喜爱，主要负责课程线性代数，在教学一线多年，总结了很多经验，编写成书，希望对广大读者有所帮助。,25.0,20.00,"内容覆盖行列式、矩阵、线性方程组、二次型等,与现行的线性代数同步,每章除了供学生课后同步练习以帮助学生理解、巩固所学内容而精选的练习题外,还有作为全章内容归纳、总结和深化的总习题,书末对这些习题给出了答案或提示,最后还附有三套模拟题以及历年考研真题,供学生参考, 本作业题中的每道题均留有答题空间,学生可直接在上面求解,无需抄作业题,不需另备作业本,便于资料的保留,同时也便于教师批阅和收发."
数学,价格升序,微积分,施春丽,作者长期从事微积分相关课程的教学科研等工作。在教学和实践工作中，充分了解大学生微积分的教学重点和注意事项，并出版过多本相关教材，得到市场的肯定。,25.0,20.00,
数学,价格升序,经济数学学习指导与练习,赵培勇  申合帅,"作者多年从事职业教育工作,有着丰富的教学经验,参与企业项目制作,有着丰富的实践经验,主编的多部教材,得到老师们的认可",25.0,20.00,本书主要内容包括函数与极限、导数与微分、导数的应用、不定积分与定积分等。力求做到用通俗易懂的语言和常规思维表达数学基础知识及相关概念；淡化理论，突出应用；整体结构清晰，前后呼应，条理清楚；知识点、例题要点明确，章节练习与之对应，练习题均配有参考答案，便于教师的教学和学生的学习。
数学,价格升序,普通高校专升本考试模拟试卷——高等数学,七洲培训学校教材研发中心,七洲教育培训学校是专升本考前培训学校，集中研发6380学时课程，累积总结7年多实践教学经验，引导学生科学合理地进行学习，培养考生良好的学习习惯，提高学习效率，促进深入扎实地掌握知识点。,25.5,20.40,本书是由七洲教育集团培训学校编写的普通高校专升备考模拟试卷，内容包括普通高校专升本考试高等数学模拟试卷(一)~（十）及参考答案。本书由七洲教育集团培训学校策划、组织编写，教材编写团队成员为来自电子科技大学、西华大学、四川工程职业技术学院等学校的一线教师，具有深厚的数学专业功底和丰富的专升本考培辅导经验，可以帮助考生强化双基训练，理解、掌握、巩固和检验所学的知识和方法。本书适合作为普通高校专升本考试高等数学备考辅导资料，也可作为专科学生提高数学水平的自学参考书。
数学,价格升序,离散数学及其在计算机中的应用（第四次修订）,徐洁磐 朱怀宏 宋方敏,,26.0,20.80,　　离散数学和计算机科学关系密切。本书系统地介绍了离散数学的基础理论，阐述了各个分支之间的联系，还说明了它在计算机中的应用。主要内容包括：集合论、关系、映射和无限集、近世代数、图论、命题逻辑、谓词逻辑、命题逻辑和谓词逻辑的公理化理论、离散数学在计算机中的应用。章末附有复习提纲及习题，书末附有各章习题解答。　　本书适合作为计算机及相关专业的学生和自学考试者的教材，也可供从事计算机和数学方面研究的科技工作者和教师学习参考。
数学,价格升序,线性代数,刘树德,作者长期从事应用数学、非线性问题、奇异摄动理论及其应用等多个领域的研究。在《CSCI》以上的期刊上发表学术论文50多篇，参加过国家自然科学基金2项，主持过省部级科研项目4项。,28.0,22.40,本书从应用型本科学生的实际出发，采用学生易于接受的方式，以数学考研大纲中线性代数编排为序，系统地介绍了线性代数的行列式、矩阵、向量空间、线性方程组、矩阵的特征值与特征向量、二次型等内容，并配备一定数量的习题。书末附有习题参考答案。
数学,价格升序,线性代数(工业和信息化普通高等教育“十二五”规划教材立项项目),谭福锦 黎进香 主编,,28.0,22.40,　　本书共有7章，包括行列式、矩阵、矩阵的初等变换与线性方程组、n维向量与线性方程组的解的结构、矩阵的特征值与特征向量、二次型及其标准形、线性空间与线性变换。　　本书在内容的总体安排上做到循序渐进，衔接自然，层次分明。各章内容编写力求由浅入深，联系实际，简明易懂，便于老师教学和学生自学。　　本书可用作本科院校理工、农、医、经、管等各专业的“线性代数”课程教材，也可以用作专科和各种高职院校的教材，对科研工作者、工程技术人员及自学者也同样适用。
数学,价格升序,离散数学（第2版）,李盘林 赵铭伟 徐喜荣 李丽双 编著,,28.0,22.40,　　本书共12章，内容包括命题逻辑、谓词逻辑、集合、关系、函数、代数结构的概念及性质、半群与群、环和域、格与布尔代数、图的概念与表示、几类重要的图以及数论。　　全书编写力求通俗、简明、扼要。各章都配有典型例题和大量的习题，便于读者理解与掌握内容。　　本书可作为高等学校计算机及相关专业的教材，也可供相关技术人员学习参考。
数学,价格降序,应用随机过程：概率模型导论（英文版·第12版）,[美]谢尔登·M.罗斯,谢尔登·M.罗斯（Sheldon M. Ross）国际知名概率与统计学家，南加州大学工业与系统工程系的教授。1968年博士毕业于斯坦福大学统计系，曾在加州大学伯克利分校任教多年。他是国际数理统计协会会士、运筹学与管理学研究协会（INFORMS）会士、美国洪堡资深科学家奖获得者。罗斯教授著述颇丰，他的多本畅销数学和统计教材均产生了世界性的影响，如《概率论基础教程》《随机过程》《统计模拟》等。,179.8,143.84,本书是一部经典的随机过程著作，叙述深入浅出、涉及面广。主要内容有随机变量、条件期望、马尔可夫链、指数分布、泊松过程、平稳过程、更新理论及排队论等，也包括了随机过程在物理、生物、运筹、网络、遗传、经济、保险、金融及可靠性中的应用。第12版几乎各章都有新的内容，也新增了例子和习题，其中最大的变化是增加了讲解耦合方法的第12章，讲述了这种方法在分析随机系统时的作用。还值得一提的是，第5章介绍了一种可以适用于平稳和非平稳泊松过程的获取结果的新方法。本书配有上百道习题，其中带星号的习题还提供了解答。
数学,价格降序,可视化微分几何和形式：一部五幕数学正剧,[美]特里斯坦·尼达姆（Tristan Needham）,特里斯坦·尼达姆（Tristan Needham） 旧金山大学数学系教授，理学院副院长。牛津大学博士，导师为Roger Penrose（与霍金齐名的英国物理学家）。1995年被美国数学学会授予Carl B. Allendoerfer奖，他的研究领域包括几何、复分析、数学史、广义相对论。,179.8,143.84,本书以五幕数学剧的形式直观地讲述微分几何和微分形式，包括“空间的实质”“度量”“曲率”“平行移动”和“微分形式”。在前四幕中，作者把“微分几何”回归为“几何”，使用200多幅手绘示意图，运用牛顿的几何方法对经典结果做出了几何解释。在第五幕中，作者介绍了微分形式，以直观的几何方式处理高级主题。本书作者挑战性地重新思考了微分几何和微分形式这个重要数学领域的教学方式，只需要基本的微积分和几何学知识即可阅读本书。
数学,价格降序,哈代数论 第6版,[英] 戈弗雷·哈代 [英] 爱德华·赖特,戈弗雷·哈代（Godfrey Harold Hardy）英国数学界和英国分析学派的领袖，享誉世界的数学大师，在数论和分析学方面有着巨大的贡献和深远影响。培养和指导了众多数学大家，其中包括印度数学奇才拉马努金和我国数学家华罗庚。他还著有《一个数学家的辩白》《纯数学教程》《不等式》等。爱德华·赖特（Edward Maitland Wright）英国著名数学家，毕业于牛津大学，是戈弗雷·哈代的学生。生前担任英国名校阿伯丁大学校长多年。爱丁堡皇家学会会士、伦敦数学会会士。曾任 Journal of Graph Theory 和 Zentralblatt für Mathematik 的名誉主编。戴维·希思-布朗（David Roger Heath-Brown）著名数学家，牛津大学教授，英国皇家学会会员，分别于1981年和1996年获得伦敦数学会颁发的贝维克奖（Berwick Prize）。约瑟夫·西尔弗曼（Joseph H. Silverman）著名数学家，美国布朗大学教授，哈佛大学博士毕业。著有 The Arithmetic of Elliptic Curves 等十多本书，发表学术论文100多篇。张明尧（Zhang Mingyao）1945年12月出生，1987年在中国科学院数学研究所获得博士学位。先后在安徽大学、中国科技大学博士后流动站、中国科技大学、华东理工大学等学校工作，长期从事解析数论、代数数论以及计算数论方面的研究工工作，有多部译作出版。张凡（Zhang Fan）1982年7月出生，加拿大康考迪亚大学数学系毕业，获得统计专业硕士学位。参与翻译的著作有《数论导引（第5版）》和《具体数学：计算机科学基础（第2版）》等。,169.8,135.84,"本书是一本经典的数论名著, 取材于作者在牛津大学、剑桥大学等大学授课的讲义. 主要内容包括素数理论、无理数、Fermat 定理、同余式理论、连分数、用有理数逼近无理数、不定方程、二次域、算术函数、数的分划等内容. 每章章末都提供了相关的附注, 书后还附有译者编写的相关内容的最新进展, 便于读者进一步学习."
数学,价格降序,泛函分析导论及应用,[加]欧文?克雷斯齐格（Erwin Kreyszig）,欧文·克雷斯齐格（Erwin Kreyszig）德裔加拿大籍应用数学家，在德国达姆施塔特工业大学获得博士学位，曾任职于美国斯坦福大学、加拿大渥太华大学、美国俄亥俄州立大学、奥地利格拉茨技术大学、加拿大温莎大学和加拿大卡尔顿大学等高校。他是应用数学领域的先驱，主要研究课题是非波复制线性系统，另著有Advanced Engineering Mathematics和Differential Geometry等书。,169.8,135.84,本书是学习泛函分析的一部认可度较高的入门书，被欧美众多大学广泛用作数学系、物理系本科生和研究生的教材．全书共11章，包括度量空间、赋范空间、巴拿赫空间、希尔伯特空间、不动点定理及其应用、逼近论、赋范空间中线性算子的谱论、赋范空间中的紧线性算子及其谱论、有界自伴线性算子的谱论、希尔伯特空间中的无界线性算子、量子力学中的无界线性算子等内容．本书精选900多道习题，并给出了解答．
数学,价格降序,概率论及其应用 卷2 第2版,[美]威廉·费勒 (William Feller),[美]威廉·费勒（1907年7月1日—1970年1月14日），克罗地亚裔美国数学家，20世纪最伟大的概率学家之一。师从著名数学家希尔伯特和柯朗，年仅20岁就获得哥廷根大学的博士学位。在生灭过程、随机泛函、可列马尔可夫过程积分型泛函的分布、布朗运动与位势、超过程等方向上均成就斐然，对近代概率论的发展做出了卓越贡献。特别是他的两本专著（《概率论及其应用》，共2卷），曾影响了世界各国几代概率论及相关领域的人士。,169.8,135.84,本书是威廉·费勒的著作《概率论及其应用（卷1）》的续篇。第1、2、3、6章介绍了各种重要的分布和随机过程；第7、8、16、17章讨论大数定律、中心极限定理和无穷可分分布；第9、10章讨论半群方法与无穷可分分布、马尔可夫过程的关系；第11章为更新理论；第12、18章论述随机游动及傅立叶方法的应用；第13、14章论述拉普拉斯变换及其应用；第19章为调和分析。
数学,价格降序,矩阵计算（第4版）,[美] 吉恩·戈卢布（Gene H. Golub） [美] 查尔斯·范洛恩（Charles F. Van Loan）,吉恩·戈卢布 (1932－2007) 美国科学院、工程院和艺术科学院院士，世界著名的数值分析专家，现代矩阵计算的奠基人，生前曾任斯坦福大学教授，他是矩阵分解算法的主要贡献者。 查尔斯·范洛恩 著名数值分析专家，美国康奈尔大学教授，曾任该校计算机科学系主任。他于1973年在密歇根大学获得博士学位，师从Cleve Moler。,169.0,135.20,《矩阵计算》是已故美国科学院院士、美国工程院院士吉恩·戈卢布（Gene H. Golub）等人的经典巨著，是矩阵计算领域的标准性参考文献。本书系统介绍了矩阵计算的基本理论和方法．内容包括：矩阵乘法、矩阵分析、线性方程组、正交化和最小二乘法、特征值问题、Lanczos 方法、矩阵函数及专题讨论等．书中的许多算法都有现成的软件包实现，每节后附有习题，并有注释和大量参考文献．第4 版增加约四分之一内容，反映了近年来矩阵计算领域的飞速发展。
数学,价格降序,复分析：可视化方法,[美]特里斯坦·尼达姆,特里斯坦·尼达姆，旧金山大学数学系教授，理学院副院长。牛津大学博士，导师为Roger Penrose（与霍金齐名的英国物理学家）。因本书被美国数学会授予Carl B. Allendoerfer奖。他的研究领域包括几何、复分析、数学史、广义相对论。译者：齐民友，著名数学家、数学教育家。1952年毕业于武汉大学数学系，历任武汉大学数学研究所副所长、研究生院院长、副校长、校长。曾任国务院学位委员会第二届数学学科评议组成员、中国数学会副理事长、湖北省数学会理事长、湖北省科协副主席。,159.0,127.20,"本书是在复分析领域产生了广泛影响的一本著作. 作者独辟蹊径，用丰富的图例展示各种概念、定理和证明思路, 十分便于读者理解, 充分揭示了复分析的数学美. 书中讲述的内容有作为变换看的复函数、默比乌斯变换、微分学、非欧几何学、环绕数、复积分、柯西公式、向量场、调和函数等。"
