书名,作者,总点击量,字数,简介
港片：小结巴偷我车是给我面子？,秦唐飞飞,1398万,368万,徐聪穿越到港综世界，成了一名卧底洪兴的古惑仔！因为开局抢了陈浩南晋升的机会而跟对方结仇！随后，徐聪的新车被小结巴给抢走了。徐聪去跟陈浩南谈判，结......
美漫：我为超人，老婆是旺达！,徒手上天榜,1397万,426万,人在美漫，抽中超人血统。刘枫：“有时候人生就是这么索然无味，本以为自己身处绝境，却开局抽中王炸！”超人血统、枪斗术、瞬间移动……他为纽约之光，是......
洪荒：冥河，求求你不要自爆了！,必须江南,1397万,185万,开局穿越洪荒，居然成为了冥河老祖！若是成为三清也行，毕竟福泽深厚可以成圣！就算是西方二人组也好，一堆大誓言照样成圣！再不济，成为女娲也行，虽说成......
至高洪荒：我神话九世证鸿蒙天尊,好迷茫啊,1397万,360万,苏言穿越洪荒，原本打算苟到大道圣人，不曾想被大道金榜【盘点十大强者】视频曝光。第一名：苏言，轮回九世，鸿蒙至尊。同时也将他前世身份一一曝光！菩提......
洪荒：开局亿次推演，打造至高法,梦想上天_,1396万,713万,穿越洪荒世界，成为低配洪荒的鸿钧。圣人堪比金丹？准圣大罗只是练气筑基？这么弱的世界有什么意思，要玩那就玩大一点！打造至高洪荒世界！灵气少修炼难度......
搞科研的我，子枫妹妹的青梅竹马,步步升莲,1395万,307万,向往第六季开播第一天。子枫妹妹被曝光恋爱。可谁也没想到。这个绯闻男友，竟然是她的青梅竹马叶天。更让人惊讶的是。叶天竟然来参加了向往。网友们傻眼了......
人在光之国，开局签到光辉赛罗！,玄幻拾起,1395万,646万,穿越光之国，苏泽发现自己成为了赛罗奥特曼，还是那个即将触碰等离子火花的时间点。正当苏泽手足无措时，金手指忽然觉醒。【叮，奥特签到系统激活】【请触......
洪荒：这玄龟太稳健，主动撑天！,魔道真人,1394万,268万,穿越洪荒，还成为了北海玄龟。想到量劫时期的惨烈，熟知剧情的陈北玄决定稳健起来，开始在北海不出。直至有一日，不周山倒塌，他马上要被女娲杀去撑天了。......
王者，我在长安开手游馆,暴走芋头,1394万,184万,叶荣穿越到了大唐长安，并且开了一家‘上机堂’手游馆，第一款游戏《荣耀》，从第一个顾客云缨变成网瘾少女开始，这一切变得变得不太正经了。云缨：长安五......
武侠：开局忽悠李寻欢前世是杨戬,斩魄刀之王,1393万,263万,萧策穿越到了武侠世界，绑定了传道者系统，要将武侠升维为神话世界。自此，开始了一段神话引路人的故事。李寻欢绝没想到自己有一天跟二郎神扯上了关系。青......
七零年代，带着空间和传承去下乡,大桶泡面,1393万,150万,一个带着记忆的轮回者，带着灵药空间，突然重生在四合院之中，成为阎家老三。四合院的剧情都快走的差不多了，棒梗也大了。而自己也马上要下乡了，刚刚到了......
玄幻：扮演荒天帝，镇压黑暗动乱,天神无双,1393万,297万,姜牧穿越玄幻世界，成了刚出生的荒古世家弟子，并激活最强扮演系统，扮演的人物越像，获得的力量就越强。而他第一个要扮演的对象，居然是独断万古的幼年荒......
四合院：从任职殡仪馆开始,一根老利群,1391万,294万,一觉醒来，秦牧发现自己穿越到了四合院，成为其中的一员。开局便是在火葬场任职。“小伙子，这份工作以后就要交付给你了！”一位老大爷说着便是把一具尸体......
抗战：接管被服厂，你造防弹衣？,无名之名,1391万,294万,林峰穿越到抗战时期，开局接管边区被服厂，觉醒神级军工系统。做被服没棉花？用凯夫拉纤维顶上，要什么新衣服，直接防弹套装。打鬼子没枪炮？挖矿冶炼，从......
洪荒：我开局邀请女娲诸天模拟！,漂到失联,1390万,213万,沈浪穿越洪荒世界，觉醒诸天模拟器。只要在模拟器中存活时间够长，就能够获得丰厚的奖励，但进入模拟空间的条件却是化形！偏偏沈浪穿成了最难化形造化青莲......
moba:我，灵魂配音师！,哥斯拉巨,1390万,209万,叶枫来到一个没有网游配音的平行世界，并意外绑定配音名气系统！一句“我于杀戮之中盛放，亦如黎明中的花朵”，让戏命师从疯子变成了艺术大师！一句“谎言......
我开发三体，玩懵全球玩家！,梦里都是小钱钱,1390万,200万,秦风穿越到了vr技术极其发达的世界，但这里的vr游戏却是很拉胯。绑定了游戏系统之后，作为三体迷和游戏爱好者的秦风，果断拿出了《三体》游戏！刚一发......
大明：开局科举舞弊？我考哭考生,天杀星,1389万,236万,洪武年间，叶轩穿越了！成为了科举考试中的一名考官。并且，绑定了名望值系统，只要名望值越高，得到的奖励就越多。然而，科举考试才刚开始，考题就遭到了......
综影：从京海打造百年家族开始,人生气氛组,1388万,252万,世纪之初，高启临成为了京海高家的第三子。在引导自己大哥、二哥，成功解决危机，获得建工集团入场券之后，高启临开始了自己波澜壮阔的狂飙人生。组建情报......
海外音乐节上，一首万疆，惊天下,刚子哥,1376万,83万,国际音乐节中。当所有人都以为华语乐坛没落的时候。穿越到平行世界的苏辰独自站了出来。舞台上，他一席白衣古装，坐在古筝面前，开创出了这个世界没有的戏......
四合院：开局替娄晓娥治不孕,一颗哇哇菜,1376万,312万,李耀坤穿越到了情满四合院，只是年代稍稍提前了一点，这时间线，大有可为啊！看着刚结婚的娄晓娥，他“恻隐之心”顿起，“娥姐，我这能看不孕不育，你要不......
美漫：创建黑衣人，开局约谈三体,维思,1374万,244万,穿越美漫世界，成为黑衣人组织负责人。什么是黑衣人？所有不属于人类的第三接触都是黑衣人的职责范畴。外星人，异世界来客，甚至是神灵。开局接到三体世界......
终极系列：我说书人！开局就剧透,说书人呀,1374万,175万,苏屿穿越到终极系列的世界里，觉醒【说书系统】！只要通过说书剧透未来发生的故事，就能获得人气值，通过人气值抽奖获得说书世界人物、物品、功法等――于......
盗墓：说书盗笔，九门懵了,一枝穿云箭,1373万,335万,张尘穿越到盗墓世界，绑定说书人系统，只要有人听书就能获得人气值。于是张尘开启了在新月饭店说书的生活。让他万万没想到的是，尹老板竟然对他动了心思！......
我直播摆烂，赚够两百就下播！,又白又菜1,1373万,299万,江枫穿越到平行世界，并且觉醒摆烂直播系统。只要直播收礼物达到200元，便直接自动下播，并且可以获得神秘礼包。于是，全网最让人痛心的主播产生了。一......
抗战：我，云龙之叔，西北战神,直达天榜,1372万,189万,李青龙穿越到了亮剑世界，还成了李云龙的亲叔。还是黄埔六期毕业生，中央军加强营营长。获得军火商城系统，可以无限购买军火。“叮，您购买的100辆t3......
精灵：曝光皮卡超，凡躯比肩神明,大皮老师无敌,1371万,232万,在小智即将踏入石英大会，世界刚决出最强的八位训练家的时候，天道盘点突然降临世界！【盘点那些以凡躯对抗神灵的精灵！】【金字塔上对战冰神柱，雷与冰的......
娱乐：为赚份子钱，和杨老板假婚,盗墓鬼白,1371万,248万,秦贤穿越成欠债千万的滥片导演，声名狼藉，想拍部票房电影翻身，却无人投资！扬蜜因拒绝浅规则，遭资本打压，彻底过气，眼看着同期女星大红大紫，羡慕嫉妒......
精灵：拓也传奇,潇沉,1371万,204万,这个神奇星球的口袋怪兽简称神奇宝贝，现在一个在星空下许下诺言的少年拓也与神奇宝贝以及同伴邂逅，冒险，战斗的故事即将展开，让我们一起期待拓也的故事......
嬴政给我上香，我教他天子封神术,三十亩田,1371万,324万,为了统一六国之理想，嬴政意外来到一座神秘道观中，进入其中上了一炷香。“想要统一六国太简单了，只要你每日上香一柱，我教你天子封神术，打造无上圣朝，......
大秦：墨家弃徒，帮祖龙机械永生,天神下界,1370万,399万,穿越大秦，张夜成了一名墨家弟子，本想苦心钻研机关术，却因与墨家理念不合，被逐出墨家，成为墨家弃徒。所幸……超时空机械系统激活！张夜毅然选择加入秦......
武侠之秽土转生,我是007,1370万,267万,作为一个穿越者，沐尘获得了个异于常人的金手指――秽土转生！只需要获取人物骨灰，就能将之转生！复活林远图，获得内力20年！复活宋青书，获得降龙十八......
抗战：接个电话，就让我当团长？,国之荣耀,1369万,349万,穿越抗战世界，叶寒成为一名警员。开局接到上级任务，前往一线战场送弹药补给。在机缘巧合下，他不小心接通了前线的电话，然后莫名其妙被任命为连长！然后......
港片：人在洪兴，我能升级万物,只有桂花香,1369万,267万,穿越八十年代香江，洪兴四九仔霍家俊，绑定升级万物系统！只要有钞票就能升级万物。【砍刀】【升级所需：0/100】【砍刀→钛合金钢刀】……【服装生产......
港片：人在洪兴，爆兵流系统！,天榜789,1369万,260万,穿越香江，霍文耀成为洪兴四九仔，绑定「爆兵系统」！只要有钱，就能爆兵，忠诚100%。普通小兵，1万港币！特种兵王，100万港币，实力强大，拳打陈......
娱乐：给毛巨星灌酒，我爆火了！,在下菠萝吹雪,1368万,335万,陆晨穿越平行世界【明日之子】现场。一醒来，就发现面前坐着一个人高马大的东北大男孩，正紧张到脸红手发抖。此时激活系统，只要给毛毛灌酒就能获得奖励，......
霍格沃茨：小獾能有啥坏心思呢？,墟里烟,1368万,251万,穿越哈利波特世界，重生成了格林德沃和邓布利多的骨肉至亲，布莱克觉醒了情绪宝箱系统！让别人血压飙升，就能获得宝箱！于是……布莱克：“复习？刚学会的......
太平间诈尸，我却扛回逃跑的女尸,山海海神,1368万,224万,林云穿越平行世界，获得【狠人系统】，只要完成系统发布的任务，就能获得奖励。第一个任务竟然是在太平间看恐怖电影。谁曾想，半夜诈尸了，一具女尸逃跑了......
四合院：百万亩牧场，直接躺平！,�d�d君子,1368万,326万,穿越到禽满四合院的世界。开局获得了百万亩牧场。在不愁吃不愁喝的情况下。李云峰直接躺平了。但是在躺平的同时。李云峰也做出了一系列的老六行为。没事的......
伟大航路的帝具使,赤之石,1368万,294万,这是一个初始的时代，洛克斯海贼团未曾建立，三大传奇海贼未曾鼎力，大海贼时代更是遥遥无期。卡尔・诺克萨斯！带着四十八件帝具穿越到了这个一切未曾开始......
我在毛熊当军火贩，大帝请我出山,扛把子的熊猫,1367万,422万,陈宇重生九十年代，大毛解体前夕，本来只是想当倒爷，薅一薅羊毛，却意外成为了军火贩子，从此一发不可收拾！飞机？坦克？Ak47？那只是战争之王，而我......
祖上盗墓，关我考古专家什么事？,一枝穿云箭,1367万,276万,“爷爷是卸岭总把头，姥爷是搬山魁首，三舅是知名古董贩子，老姨夫盗窃过文物，请问我能报名加入考古队吗？”杭城考古协会考核大厅，张轩的一番话，直接让......
足球：国足误我，润到巴萨当球王,裴剑仙,1365万,245万,叶凌枫穿越了！这一世他成为了双国籍华裔小将，正在巴萨的拉玛西亚青训营进修！本想为国足尽一份力，却发现这一世的足协依然黑暗无比！在暴揍了国青领队父......
让你当炮灰，你却成了人生赢家？,豆豆豆豆豆,1365万,276万,陈诺被炮灰系统选中，要去各个世界，替那些原本是炮灰一样的人完成心愿。可慢慢的，陈诺成了人生赢家。第一个世界：卑微的爱前身爱上大学里的贫困女孩，被......
娱乐：顶流小鲜肉，蜜蜜绯闻男友,高考每次都满分,1365万,326万,苏叶穿越平行世界，成为了小三只的队长，三人都是顶流小鲜肉，更有无数妈妈粉！而苏叶刚刚穿越，便是三人分开组建工作室，没有解散，实则单飞的时候！带着......
四合院：你让我不爽，我百倍偿还,南城大帝,1364万,385万,穿越禽兽四合院，杨青山娶妻何幸福（赵骨朵），本想好好过日子，可没想到，这些禽兽却偏要搞事情。易中海阻我晋升，我要你身败名裂，惨死街头，这合理吧！......
我霍去病，大破匈奴，被周姐直播,天榜一月游,1364万,223万,高阳获得人生模拟系统，一朝穿越为大汉霍去病！十七岁冠军侯，二十一岁封狼居胥，饮马翰海，完成历史武将最高荣誉成就，更是杀的匈奴悲呼，失我祁连山，使......
我在历史中编造神话，惊爆全球！,捕鱼人,1364万,182万,穿越原始时代。陆离绑定编造历史系统，只要在历史中留下属于他的痕迹，就可以获得来自系统的奖励。然而他努力了半个月，也没有薅到系统半根羊毛，直到某天......
重生70年代：我的青梅竹马郝冬梅,������������,1363万,504万,重生七十年代，沈建国穿越到《人世间》的世界，成为光字片的一员。因为沈建国的出现，导致一些事情发生了变化，郝冬梅并没有遇上周秉义，从初中开始便和沈......
我，恐怖片教父，成全网公敌了？,匣里明月长,1363万,217万,“林时是整个电影界的罪人！”“林时，是要向全网观众谢罪的！”“林时老贼，我跟你不共戴天！”……林时穿越到平行时空，成为了一个即将毕业的导演系大四......
大明熊孩子：重八，借你玉玺一用,大秦扛把子,1362万,276万,洪武十五年，大明皇太孙朱雄英病逝。可当太医宣布朱雄英死亡后，他又从床上坐了起来。朱雄穿越到大明世界，成了新的朱雄英，觉醒【熊孩子】系统。大病初愈......
僵约：签到祖巫血脉，吓哭马小玲,金吉柠檬茶,1362万,213万,苏木穿越到了僵约的世界，开启了签到系统，只要签到就可以变强.....“滴，恭喜宿主在嘉嘉大厦签到，获得祖巫血脉-烛九阴精血！”“滴，恭喜宿主在灵......
港片世界从当差开始,豆物语,1361万,67万,我叫周宇，拜见在雷老虎门下做过许多大事，不过成功的是我的大哥。后面因为一些事情他下台了。四大探长里面有我，但是已经是过去式。我留在这里，我上位了......
西游：小钻风，求你别再巡山了！,混沌仙尊,1361万,250万,李钻穿入西游，还成为狮驼岭的龙套人物小钻风。在这个妖魔肆虐的世界，每天他都要负责巡逻大山，过着朝不保夕的日子。幸好有巡山系统，只要在山上巡逻，即......
蘑菇屋：跳伞失误，误入综艺现场,掌兵天下,1361万,271万,穿越平行世界，秦风成为一名伞兵。开局高空跳伞训练，他因看错坐标，误跳入向往6的节目现场！当秦风手持突击步枪，穿着迷彩训练服落地时，在场明星们以及......
直播：一首铁窗泪，送走呆小妹,正道的光灭了,1360万,341万,叶玄一觉醒来，发现自己正在连麦一位高人气荒野求生主播并且，还绑定了一款人气值系统只要直播人气够高，就能获得各种奖励“挑战荒野求生72小时，家人们......
四合院：截胡娄晓娥，让傻柱绝后,热风,1359万,265万,带着一整个商超穿越四合院，在这个物资匮乏的年代，李成业吃喝不愁。出门看到娄晓娥急着结婚，四处找人相亲。娄晓娥漂亮又能干，果断截胡拿下。许大茂打一......
大明：我三百年帝师，吓坏朱元璋,国运祖龙,1359万,256万,朱元璋突然觉醒【帝王人生浏览器】，可却发现他的子孙后代，都被一个权臣暴揍！而那位权臣，还是他临终前的托孤重臣？叶青拿起朱元璋御赐打皇藤条，暴揍朱......
大秦：春秋血修罗，签到大雪龙骑,煮茶证道,1358万,115万,白仲穿越到了战国时期的大秦，发现自己成了武安君白起唯一的儿子。此时，秦王嬴稷穷兵黩武，战于长平。本该建功立业，成就一方豪雄。但系统却告诉他，此方......
僵尸：我九叔师弟，靠作弊修仙！,当真不是江楠啊,1358万,426万,穿越僵尸世界，顾涅成为茅山外门弟子，九叔师弟！这下芭比q了！还好，随身携带了修改万物日期系统！修为太差，到了瓶颈？开局修改至百年后修为，原地证道......
我在娱乐圈立山头,发达的猫,1358万,724万,这些年相识的每一个人，现在都和李齐的关系很好，李齐也都会尽最大的能力照顾她们的。比如柳诗诗、柳一菲、高媛媛、糖烟、扬雪、大蜜蜜、大甜甜、林狁儿、......
精灵：我家沙奈朵有点不正经！,紫月忧蓝,1358万,360万,你有见过用鞭子抽人的拉鲁拉斯？或者说你见过手提着南无加特林一息三千六百转的奇鲁莉安？再或者你见过一个响指召唤六根清净贫轴弹的沙奈朵？还是说你见过......
我在假面骑士召唤怪人,洪荒大至尊,1358万,206万,别人倒好，一到骑士世界不是变身成为假面骑士就是拥有骑士驱动器，随时可以装逼打怪。林宇来到了骑士世界开局却是变成了joker，还好林宇的人类形态也......
国运：武侠垫底？我一键神功满级,武侠大反派z,1358万,295万,地窟入侵，灵气复苏，天道以各国国运开启专属异世界通道，随机选中开拓者进入，直播争取超凡机缘。小日子开拓者加入音忍村，即将前往参加木叶中忍考试，发......
四合院：下乡插队，从北大荒开始,李无敌,1357万,215万,陈睿穿越到四合院世界，开局跟棒梗他们要下乡北大荒。别人不敢去，我敢！整天跟这一帮禽兽斗来斗去有什么意思？跳出四合院的小圈子，来到北大荒，成为建设......
洪荒：聊天群内竟是诸天万界的我,模拟器啊,1357万,338万,人在洪荒灌江口，兄弟二郎神，老婆三圣母！还激活诸天聊天裙系统。本以为就此当个神棍，忽悠聊天裙的成员好让他们给自己好处，却不曾想加入聊天裙的竟然是......
抗战：铁血悍将，我有模拟器,勤奋的小蜜蜂,1356万,250万,周杰穿越由亮剑、雪豹、伪装者、我的团长我的团...等等综影的平行世界，开局成为新一团的一名新兵。正逢苍云岭之战打响，平民出身的周杰看着手中的汉阳......
三国：我曹家暴君，开局屠了司马氏,万托林,1356万,186万,重生汉末，成为曹操真正的长子。绑定【暴君系统】，开局就屠了司马懿一族。“叮，砍了司马懿脑袋，获得玄甲骑。”“叮，气死卧龙，获得霸王之力。”“叮，......
nba：我，开局终结乔丹！,天榜nba,1356万,192万,拿到第二个三连冠之后，乔丹无意来到世界街球中心洛克公园。他挑选了莫枫和他单挑，却被莫枫尽情羞辱。最后一球，莫枫更是直接打断了乔丹的肋骨，送乔丹进......
武侠：金榜前十尽秦国，祖龙懵了,骑鲲上天,1356万,256万,赢祁穿越到了万国世界。成为大秦帝国一名皇子，从小拜师道门天宗。直到天道金榜现世，天下皆惊！祖龙：我大秦剑圣、天下第一高手，才排名第三十？其他帝国......
剪辑通历史：盘点十大失败的传位,新年发大财,1355万,528万,秦羽发现自己的视频可以发布在万界位面之中。于是，【盘点十个最为失败的传位】视频随之发布。这一刻，其他位面帝王看过开始争辩。刘备：“吾有孔明托付，......
开局养蟑螂，我把垃圾变废为宝,乱杀天榜,1355万,444万,李牧无意中觉醒一款《生物进化系统》。只要花钱，就能快速繁殖，进化生物。阴差阳错之下，他的首个新手免费物种，绑定成了蟑螂。经过研究，他发现只要数量......
美漫：概念神灵，从天道酬勤开始,魂忆风,1355万,184万,亚伦穿越到漫威世界，成为一名普通的阿萨神族成员。在一次魔法修炼中，觉醒天道酬勤天赋，不停锻炼能力就能无限提升。即便是一个最普通的魔法，也能最终晋......
小兰已定亲,柯柯南,1354万,142万,“毛利兰，我叫林介，是你和你定娃娃亲的未婚夫。”“什么，你就是和我定娃娃亲的那个人？你怎么不早说，我之前还鼓励园子和你。”“这可不怪我，我以为你......
封神：拜入阐教，我杨戬无敌世间,小梦101,1352万,171万,穿越封神，成为二郎神杨戬。开局便是拜入阐教门下，觉醒垂钓金手指。恭喜主人，垂钓到大道级功法。恭喜主人，垂钓到重瞳传承。恭喜主人，垂钓到混沌至宝一......
娱乐：求求你，别靠颜值吃饭了！,妖妖零三久,1352万,242万,苏阳一个靠颜值吃饭的演员。扮演过《三生三世》里面的东华，扮演过《大雪龙骑》里的柿子，扮演过《神雕》里的哑巴版杨过…他饰演过无数电影里的帅哥形象。......
带领全村撸网贷，打造金融塔寨村,神龙战将,1351万,309万,林东穿越回了大学刚毕业时期，第一念头就是怎么搞钱！灵光一闪，当下不合法的黑网贷盛行，直接开撸！几十个黑网贷平台，被林东全给撸了一遍，轻松入账几十......
投资惊悚公寓：夫人，请正经交租,明烛天南,1351万,234万,惊悚游戏降临世界，江白倒霉的和全班同学被选中。好在，江白发现，自己手机**载的一款【惊悚世界模拟经营期】成真了！他在里面购买的房产物业，居然是惊......
武侠：老夫清微道人，被金榜曝光,文徒文化,1350万,218万,徐清风穿越了。成为了《仙剑》的蜀山掌门，清微道长。他本以为自己穿越到了仙侠世界。可却发现自己身处七侠镇，这里是综武世界！那自己纯属降维打击啊！这......
开局制作精灵游戏：全世界玩疯了,草莓味饼干,1349万,327万,穿越平行世界，楚南绑定完美游戏制作系统。开局兑换神奇宝贝第一部动画预热，然后重磅推出完美ar游戏神奇宝贝go！ar眼镜+精灵球+精灵图鉴一套只要......
四合院：老婆孩子热炕头,从前慢,1349万,189万,重生1962，发现自己竟是在《情满四合院》世界。认清现实，杨建国只想远离是非，踏踏实实过日子。老婆孩子热炕头，一颗红心向太阳，咱这日子，它就该红......
四合院：我保卫科长，全部送牢房,南城大帝,1348万,381万,穿越到禽满四合院，张城发现自己重病在床，而四合院禽兽竟然要霸占他的家产。幸好此刻张城觉醒了系统，身体恢复过来。这些禽兽一个也不能放过，霸占我家产......
祖上三代从军，我被军校特殊招入,下次再说,1347万,323万,穿越平行世界，秦风居然成为了高考状元。当消息公布的那一刻，市电视台以及各路领导纷纷找上了这个状元郎。可当秦风母亲得知，他居然被国防科技大学保送时......
影视；人在欢喜，我是乔卫东,我永带妹,1347万,278万,乔卫东穿越到了影视世界，竟然成了乔英子的老爹乔卫东。开局一个漂亮前妻，辣妹儿瑜伽女友，娇俏女儿！还是一个身价数十亿的亿万富翁，简直就是人生巅峰啊......
不会真有人觉得DNF很难吧,罗杰的老表,1346万,312万,穿越平行世界，佟真刚好赶上DNF六十版本末期，四大远古副本更新的时候。这里副本全球同时更新，没有任何攻略。这里玩家众多，全球同时在线人数高达数十......
大秦：开局告诉祖龙我是穿越者,大秦祖��,1345万,196万,始皇帝二十八年，祖龙第三次东巡。“请问，你为什么开局就要自曝呢？”“没办法，生活不易，穿越者也要叹气，只能自曝了！”“那你为什么不一步步往上爬呢......
穿越成为剑灵，我变成了剑主外挂,风呀风,1344万,1617万,江凡穿越到修仙世界，一不小心成为血祭材料。化身剑灵陪伴了一个又一个剑主。传授功法，提升资质，传授经验，提高悟性，江凡给剑主开的外挂越来越多。终于......
四合院：你诬我偷窥，我揭你上环,牛奶奶奶,1344万,193万,刘青松带着农场系统穿越到了四合院。前身和秦淮茹有婚约，后来因为上大学闹掰，秦淮茹不愿意跟着穷学生，转身嫁给更吃香的工人贾东旭，四年后前身大学毕业......
人在民国当县长：我成了列强？,老战归来,1343万,285万,一朝穿越，苏城成为了1927年上海嘉定县县长，觉醒模拟城市系统，发展建设地盘就可获得疯狂奖励。军阀混战，动乱年代，也个遍地黄金的机会。于是，苏城......
终极战神，金时空签到十八年,飞飞啊1,1343万,68万,金时空终极一班内签到打卡三年。获得，战力指数+7万3；获得，各类神功秘籍宝贝无数；但苏木还是自觉不够，要知道，金时空BOSS们的战力指数，可不止......
人在欢喜：开局让宋倩怀了双胞胎,喵喵会飞,1342万,236万,穿越到小欢喜世界的曹青，在清吧遇到买醉的宋倩后成功激活系统。只要完成任务，就会获得各种对应奖励。从此以后，曹青走上人生晋级之路。技能1：女人们认......
大秦：我能赋予兵器特殊能力,橘子皮很苦,1342万,176万,叮，打造组合长枪，赋予特殊能力穿透！叮，打造弓箭，赋予特殊能力追踪！叮，打造战甲，赋予特殊能力防御！叮，打造战靴，赋予特殊能力速度！叮，打造翅膀......
大秦：我签到而已，被曝光成军神,一朝闻道上天榜,1342万,392万,综武世界，万朝鼎立，武侠势力，不知凡几。赢子夜穿越成为大秦九皇子，觉醒签到系统，到各地签到获取了无数奖励！这日。天道呈现，金榜公布无数榜单！可随......
洪荒：拜师西方教，吾为大师兄！,鸿蒙圣尊,1342万,222万,重生洪荒，苏禅成为一朵后天宝莲，跟脚浅薄，道行微弱，还刚好在须弥山下。他知晓拜师圣人，有大教做靠山，便是洪荒中最大的机缘。然，太上无为，通天桀骜......
四合院：傻柱他哥，抢回棒梗房子,梦魇之神,1342万,206万,穿越四合院，成了傻柱他哥。在大西北开发二十年后，创业系统才终于觉醒。这时，妹妹何雨水写来一封信，傻柱和秦淮茹这白莲花结婚了？傻缺弟弟被寡妇蛊惑，......
天师大婚：道教婚书，火爆全网！,狗娃豹子头,1341万,255万,顶流女星热芭公布婚讯，一时间全网瘫痪！就在所有人纷纷猜测男方背景时。十八重聘礼一重接着一重送到了热芭面前！天皇石、祖龙鼎，太阿剑，织女图..........
武侠唐伯虎，八个老婆都是女魔头,桃花仙人种桃树,1341万,289万,投胎到了古代，成为风流才子唐伯虎。但，他很快就发现，自己所穿越的这个唐伯虎并不是历史上的那个唐伯虎。而是那个风流不羁，诗画双绝，会霸王枪，如来神......
禁地：扮演杀生丸，队友麒麟小哥,囚笼凌凌漆,1340万,303万,血尸，噬极兽，艾恩葛朗特大迷宫……江尘穿越到一个禁地众多，遍地怪物的世界。为了觉系统，江尘决定报名参加《禁地探险》节目。开局获得神级扮演角色――......
剑道尊心,信徒凡尘,1340万,62万,一处村落。少年被身体里内隐藏着一股能毁灭天地的力量压制着使其无法修炼。受尽嘲笑冷眼。鬼脉.神脉.魄灵.�t化。逐渐现世，少年终不平凡。....
三国：从零开始，富甲一方,破晓夜微凉,1340万,135万,穿越至汉末。因为没有户籍，躲进太行山。只能挖点药材，卖点钱，勉强过活。恰逢黄巾起义。利用药材，赚取第一桶金。自那之后，一发不可收拾。……甄逸：“......
扮演白无常，捡醉杨小蜜被直播了,洪荒大唐,1339万,314万,【搞笑日常杨小蜜】温馨提示，别带入脑子，CPU容易烧了。隋缘觉醒了“什么叫惊喜”的金手指，开局扮演白无常，遇到了喝醉的杨小蜜。本想帮个忙，没想到......
人在金时空，开局召唤dc小丑！,DC小丑,1339万,156万,李墨穿越到终极系列的金时空，却成为了拓南高校的一名普通学生！开局觉醒系统，直接召唤哥谭DC小丑！只要完成任务，就能不断召唤百分百忠诚的人物效忠李......
开局刷出裂空座,别吃了饭饭累了,1339万,280万,重生到两年前，方缘再次登陆《精灵纪元》，开局便刷出了裂空座。不但如此，开服不到一个月，他就建立了自己的城市，并且他的城市每个月都能凝聚吸引神兽的......
武侠：开局绑定伐恶系统,诸天13,1338万,728万,羊钧喝醉后意外穿越成了朝廷鹰犬，锦衣卫！这里并不是地球，而是一个广阔无边的武道大世界，万年皇朝，武道宗门，千年世家，蛮族巫道，妖魔鬼怪，千百势力......
天灾聊天群：我真不是第四天灾,黑白鸽鸽,1337万,298万,这是一个全新的时代，人人都可以觉醒星球，培养文明。穿越者苏澈刚觉醒【第四天灾系统】，就被拉进了一个聊天qun，里面的qun员居然全都是毁灭级天灾......
人在鹰酱国税局，开局跟罪犯收税,紫虎,1337万,179万,鹰酱国最恐怖的部门是什么？不是FBI、也不是CIA，而是国税局（IRS）。而苏毅就穿越成为了一名IRS税务稽查员，更是激活了税务系统，只要成功收......
器灵：从缔结炎枪重黎开始！,天昏地暗,1337万,219万,陈凡穿越到器灵世界。开局就缔结契约了炎枪重黎！而后七煌器灵，锻造残章！皆归他所有！他本来只想低调。但奈何实力不允许啊！林晨玉：他就是天工会的希望......
精灵：直播问答，开局让小智社死,还是写精灵文适合,1337万,389万,精灵直播大问答降临宝可梦世界。丰富的奖励，让人绝望羞耻的惩罚，宝可梦世界的画风彻底改变。当小智在伽勒尔的宫门竞技场捧起世界冠军的奖杯时，所有人都......
隐秘研究归来，老婆杨蜜成大明星,1986,1336万,300万,杨蜜：离家五年的老公苏平安，竟然是大夏帝国航天事业的奠基人，还被誉为帝国腾飞之翼。这开玩笑？苏平安：五年刻骨铭心的思念，归来后却发现自己的老婆杨......
盗墓：开局激活观山太保十二金牌,灵异老司机,1336万,231万,天下盗墓流派，除了摸金发丘搬山卸岭之外，还有观山太保。传承天书异术，布烟控虫，化生相克，观山指迷，修建大明皇陵，身佩御赐金牌。一觉醒来，许辰穿越......
末日：妹妹被杀，我选择末日降临,妖妖零三久,1336万,229万,t原体爆发，约翰城一夜之间沦为地狱，合众联盟迅速筑起高墙，但这堵高墙同时也阻断了约翰城市民的唯一生路！数百万人丧生，无人救援！五年后，苏阳带着妹......
忍界：你和我说这是普通忍者？,小火影精灵,1335万,308万,穿到木叶，天才叶枫的目标是成为一名普通的忍者。提问：一个普通人面对两只九尾同时爆出尾兽玉的时候应该怎么做？回答：只要普通的顶上化佛，然后随便的给......
特种兵：我燕双鹰开局救小云,地三鲜咩咩,1335万,190万,穿越到我是特种兵的世界，被范天雷从狼牙开除，还好，系统融合了挂王之王燕双鹰，获得燕双鹰全部技能。遇到敏登派人对龙小云动手，关键时刻挺身而出，得龙......
四合院：接手轧钢厂，出口煤气罐,西游天蓬,1335万,355万,苏辰自己居然穿越到了八十年代，还特么是四合院的世界。三个白眼狼已经长大，徐娘半老的秦淮如依旧吸血傻柱，其他禽兽们蝇吟苟且，相互算计。但这一切，和......
