书名,作者,总点击量,字数,简介
综漫起始罪域骨王,龙门罪骨,4156万,392万,南宫龙自在随心的二次元生活。不死者之王――斩赤红之瞳――漆黑的子弹――恶魔高校――噬血狂袭――魔弹之王与战姬――我的英雄学院――哥布林杀手喜欢本......
超级国运系统,混沌邪神,4149万,780万,直播的中的叶寒穿越了，来到了纷争战乱的三国时代，并且激活了国运系统！叶寒所获得的国运将会加成到叶寒之前所在的华夏国上。国运兴旺，当霸世！！！叶寒......
老子是最强皇帝,平凡,4147万,1514万,穿越异世，却震惊发现，这个世界，为诸多历史国度所**。在这里，可以看到唐宋元明清诸多国家因有尽有。帝国统御无垠疆域，神国掌控一方天域。在这里，似......
全球杀戮：开局觉醒sss级天赋,秦家公子,4137万,867万,全球百亿人，同时降临诸天杀戮世界。灯塔国、龙国、樱岛国等百国相争！秦风开局就觉醒了无上天赋！SSS级天赋――无尽提取！他可以提取一切！包括提取神......
游戏开发狂神,主神,4129万,855万,林焰带着【游戏开发神器】来到一个娱乐贫瘠的世界。王者荣耀，鬼泣，阴阳师，仙剑奇侠传，地下城与勇士，炉石传说，穿越火线，英雄联盟，上古卷轴，模拟人......
漫威世界里的圣斗士,蠢萌阿飞,4104万,596万,前世为混吃混喝的�潘浚�没想到一觉醒来却来到了危机四伏的漫威世界，愁眉苦脸的刘文浩却拥有逆天的造化，有着所有圣斗士记忆碎片，当刘文浩越来越强大，记......
我的弟子全是沙雕玩家,回转火锅,4095万,795万,穿越四年，贺一鸣终于成为萌新宗主，激活宗门系统，获得签到奖励！系统竟召唤蓝水星小伙伴集体魂穿，重塑躯体，成为宗门弟子！于是宗门画风突变！黑魂大佬......
大宋之无耻昏君,不吃包子,4094万,500万,穿越成为大宋最大的昏君宋高宗，还得到了一个无耻昏君系统，誓要将昏君进行到底！“纳李师师为妃子，昏君怕什么臣子议论？完成任务奖励昏君点500点。”......
弟子，拜见师尊！,小辉兽的平凡,4085万,1702万,穿越平行世界，获得最强师尊系统。于时间长河之中行走，于各个时空中隐现。李修在各个时空，各个时代收下一个个徒弟，当回归现实，农民化至尊，点化之玉石......
神奇宝贝之最强人生赢家,水之神,4079万,1111万,穿越到神奇宝贝世界，还有个弟控的姐姐希罗娜，本想靠自己的能力成为最强训练家，但是……“恭喜主人打开新手大礼包，获得神兽抽奖一次！”“恭喜主人抽到......
我老婆是Big-MOM,风中吹风,4064万,613万,“叮！成功拿到超级彩蛋，接下来自带超级美化光环，遇到你的第一个女子，将对你一见钟情、无法遏制地爱上你！”“卧槽，这彩蛋牛逼！接下来赶紧去找个超级......
海贼之我的人鱼老婆们,人鱼A,4061万,585万,穿越海贼世界，变成一条超级帅的…………人鱼？你不知道被一条鱼所支配的恐惧。伟大的航线，是海的世界。人鱼是海的宠儿，身边洛克斯…白胡子……四皇七王......
枭雄崛起从港片开始,91猫先生,4048万,514万,霍文耀穿越到一个港片融合的世界，这是八十年代，这里龙蛇混杂，残酷与机遇并存，这是最糟糕的时代，却也是最美好的时代。只要你够拼，就一定能出头！于是......
大唐墨家巨子,慎独,4042万,810万,穿越回大唐，成为了冷面寒枪俏罗成不为世人所知的儿子罗秋！意外激活下载系统，鼓捣出几张图纸就成为了墨家巨子，墨家却连最后一块圣地都将没落！在这儒学......
大唐：咸鱼赘婿,魂染,4017万,1211万,穿越回大唐，成为边陲将门韩家的赘婿，李秋本想过上混吃等死的日子，怎奈遇上突厥南下！一夕间，幽州城破、赤地千里！老百姓们流离失所，北疆更是沦为蛮夷......
我师父是高进,势不可挡,4008万,924万,....
网王之天才王子,努力的扑街,3991万,511万,重生成网王世界龙马，拥有最强的天赋，和教员系统。被预言为整个球坛的不世天才。“来来……手肘，领域的目的是为了支配对手。”“不二，无尽囚笼才是三式......
玄幻之黑暗天帝,小五五,3939万,639万,周元，穿越玄幻世界，成为一尊黑暗天帝！狠人，柳神？收了！无始，帝尊？直接碾压！击杀天帝，踏平天庭，于时空尽头迎击荒天帝！我为黑暗天帝，当主宰诸天......
我的战舰能升级,酣歌,3937万,599万,这是一个巨舰星河的星际时代。特殊的火种战舰，能够定期进入异空间，收割源点，强化自身。王动携带着一款辅助系统，穿越到这里。“扫描”功能，能够看清一......
从蚂蚁到深渊魔神,天命王侯,3935万,1003万,一觉醒来，苏白发现自己不只是穿越了，而且是穿越到了一款能够影响现实的游戏当中，成为了游戏世界最底层的存在――蚂蚁。好在有着灵魂加点和吞噬进化的天......
我师兄是林正英,一支笔的愤怒,3932万,982万,穿越到了都是鬼怪的林正英世界？？不怕林正英是我师兄！还有至尊天师系统！有邪崇就来一道掌心雷灭了！我就是无敌天师！....
摊牌了，这是皇帝聊天群,聊天仙王,3932万,854万,苏泽加了一个聊天qun，里边人很奇怪，动不动就聊历史家国大事，网名也都是至尊李二，大秦祖��，大汉野猪，槽啊瞒，和尚重八，燕王judy等中二网名。......
家有儿女之最强刘星,诛神黑暗降临,3920万,607万,....
光明兽和他的小伙伴们,光明兽的无限手套,3919万,249万,数码宝贝同人文，加入许多其他动漫及作品元素，以小光（光明兽），一个被阴谋陷害的穿越者正太视角来讲述他和木偶兽以及其他伙伴们的故事，总之……正太即......
情绵一生,正国灿荣,3913万,198万,....
在神话世界登陆玄幻游戏,金刚葫芦娃,3908万,712万,简介：林凡穿越神话世界，变成一个悲催的穷书生，还是快死的那种。所幸，绑定了一款叫做‘玄幻世界’的网游。在这里，他曾与焱帝一起打上云宗，也曾助武祖......
神豪从古董鉴宝开始,鬼眼族长,3904万,899万,重生的李天明回到了2009年。不仅如此，他还拥有了万物鉴定系统。李天明的人生目标是什么？当上CEO？迎娶白富美？这些都太小儿科了！当他所建立的庞......
这，才是演员！,娱乐清流,3900万,465万,【硬核娱乐，重磅来袭】04年，这是一个最好的时代。电视剧没有被流量小生捆绑，电影业还处在萌芽发展时期，小鲜肉压根还没有被发掘。罗立，一个横店混了......
我真的不是NPC,天命王侯,3899万,1079万,一觉醒来，苏牧发现自己穿越到了一个超越现实的三国游戏当中，成为了一个最低级的农夫NPC，被玩家的村子招募。三国乱世，战乱不休。农夫NPC的安全得......
特种兵之超级系统,小菜鸟,3896万,848万,叶峰因为看我是特种兵的电视剧，也成了众多穿越者的一员。超级特种兵系统，新手大礼包，一样不少。血坑范天雷，暴打温长林，叶峰要为，被这两人坑死的人，......
终极一班之最强海军,妖妖,3887万,504万,【终极一班1完结】→【东京食尸鬼】【火热连载】因为一场意外，来到了另一个世界，获得了一个名为‘最强海军’的系统。……海军六式、武装色霸气，见闻色......
火影之瞳术巅峰,镜花水月,3880万,811万,这是一个忍者的世界，这是一个战火纷飞的时代，大国的繁荣强大之下便是小国那无声而又悲怆的哭泣，这个虚伪的世界里从来没有诞生过真正的和平，仇恨的锁链......
